dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,1.307237935277041739e-09,1.307237935277041739e-09,-1.078057180850053874e-12,-1.306159878096191758e-09,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.113909949816750210e-10,2.113909949816750210e-10,-1.484913193795674271e-12,-2.099060817878793309e-10,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,2.660903687097898426e-11,2.660903687097898426e-11,-2.020105409018745102e-12,-2.458893146196023795e-11,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.746111739411916159e-12,4.746111739411916159e-12,-2.716147324426745624e-12,-2.029964414985171747e-12,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.725610491753132684e-12,3.725610491753132684e-12,-3.611658052624965248e-12,-1.139524391281669563e-13,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,4.756208308606388783e-12,4.756208308606388783e-12,-4.752020072107655778e-12,-4.188236498733021773e-15,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,6.190095120145705985e-12,6.190095120145705985e-12,-6.189998255963197420e-12,-9.686418250861266896e-17,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,7.986284536005624683e-12,7.986284536005624683e-12,-7.986283184739436568e-12,-1.351266188211181725e-18,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.020991121024616503e-11,1.020991121024616503e-11,-1.020991119821732233e-11,-1.202884162660063240e-20,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.293850118996142831e-11,1.293850118996142831e-11,-1.293850119028051323e-11,3.190849708692023648e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.625823502785672515e-11,1.625823502785672515e-11,-1.625823502783975825e-11,-1.696623589402390832e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,2.026347673561387042e-11,2.026347673561387042e-11,-2.026347673561622272e-11,2.352490946868932380e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,2.505594998691840042e-11,2.505594998691840042e-11,-2.505594998692002247e-11,1.622207643708785618e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,3.074330888833512078e-11,3.074330888833512078e-11,-3.074330888833651664e-11,1.395568264500099035e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,3.743698123383752030e-11,3.743698123383752030e-11,-3.743698123383881924e-11,1.300947998815180887e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,4.524910382639436247e-11,4.524910382639436247e-11,-4.524910382639588113e-11,1.517395695876441447e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,5.428840111165399116e-11,5.428840111165399116e-11,-5.428840111165558736e-11,1.600196634372141900e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,6.465482727689240821e-11,6.465482727689240821e-11,-6.465482727689496730e-11,2.554514368655522580e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,7.643284143252679034e-11,7.643284143252679034e-11,-7.643284143252989227e-11,3.098842679303236608e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,8.968322377353060874e-11,8.968322377353060874e-11,-8.968322377353302565e-11,2.423592589333731048e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,1.044334246789563162e-10,1.044334246789563162e-10,-1.044334246789585522e-10,2.242695822498210663e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,1.206665840541618228e-10,1.206665840541618228e-10,-1.206665840541639425e-10,2.106758702380566138e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,1.383095116779398792e-10,1.383095116779398792e-10,-1.383095116779415594e-10,1.694709400747909836e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,1.572201705613064192e-10,1.572201705613064192e-10,-1.572201705613080219e-10,1.594084251711857730e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,1.771755078668671099e-10,1.771755078668671099e-10,-1.771755078668687126e-10,1.604227793820890855e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,1.978607642658118054e-10,1.978607642658118054e-10,-1.978607642658135114e-10,1.708483470313709580e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,2.188617756640507774e-10,2.188617756640507774e-10,-2.188617756640526127e-10,1.835441616939336837e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,2.396620923720314294e-10,2.396620923720314294e-10,-2.396620923720334456e-10,1.990031640248061867e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,2.596468746571609996e-10,2.596468746571609996e-10,-2.596468746571631193e-10,2.101553475517913177e-24,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,2.781156478247054226e-10,2.781156478247054226e-10,-2.781156478247075939e-10,2.185527834234370389e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.943056495780422438e-10,2.943056495780422438e-10,-2.943056495780444668e-10,2.215718659661427951e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,3.074268821463897088e-10,3.074268821463897088e-10,-3.074268821463919319e-10,2.223031178697908437e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,3.167088851941314641e-10,3.167088851941314641e-10,-3.167088851941336355e-10,2.206998930065185325e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,3.214576395207602736e-10,3.214576395207602736e-10,-3.214576395207624450e-10,2.170341489525628382e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,3.211190456690517613e-10,3.211190456690517613e-10,-3.211190456690538292e-10,2.105270406552443880e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,3.153433596421708639e-10,3.153433596421708639e-10,-3.153433596421728802e-10,2.005710852355833595e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,3.040429501957483381e-10,3.040429501957483381e-10,-3.040429501957502509e-10,1.875706238470570581e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,2.874345531933576503e-10,2.874345531933576503e-10,-2.874345531933594081e-10,1.721084873906897487e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,2.660571351007129269e-10,2.660571351007129269e-10,-2.660571351007144779e-10,1.547736241772170362e-24,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,2.407581047217777386e-10,2.407581047217777386e-10,-2.407581047217790828e-10,1.361797398581801316e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.126441167418015886e-10,2.126441167418015886e-10,-2.126441167418027777e-10,1.170292200637422684e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,1.829978881081070619e-10,1.829978881081070619e-10,-1.829978881081080441e-10,9.806788130205229641e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,1.531685133828737690e-10,1.531685133828737690e-10,-1.531685133828745703e-10,7.999873204521826627e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,1.244486076891221499e-10,1.244486076891221499e-10,-1.244486076891227961e-10,6.338042545534236813e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,9.795562983164639966e-11,9.795562983164639966e-11,-9.795562983164689080e-11,4.867987179309325030e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,7.453563061225854514e-11,7.453563061225854514e-11,-7.453563061225890703e-11,3.612050806216163081e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,5.470462768385745565e-11,5.470462768385745565e-11,-5.470462768385771414e-11,2.588465405860092810e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,3.863614700367961016e-11,3.863614700367961016e-11,-3.863614700367978465e-11,1.787308141924225324e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.800000000000000000e+01,2.619450838709980201e-11,2.619450838709980201e-11,-2.619450838709992156e-11,1.184934501195128757e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.900000000000000000e+01,1.700447262981971530e-11,1.700447262981971530e-11,-1.700447262981978962e-11,7.520579474476820507e-26,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+01,1.054131154249971845e-11,1.054131154249971845e-11,-1.054131154249976369e-11,4.560744144664361759e-26,0.000000000000000000e+00
0.000000000000000000e+00,5.100000000000000000e+01,6.222985681024385734e-12,6.222985681024385734e-12,-6.222985681024412391e-12,2.635411141360609068e-26,0.000000000000000000e+00
0.000000000000000000e+00,5.200000000000000000e+01,3.488361417299315948e-12,3.488361417299315948e-12,-3.488361417299330085e-12,1.443629007277169691e-26,0.000000000000000000e+00
0.000000000000000000e+00,5.300000000000000000e+01,1.851229122653563130e-12,1.851229122653563130e-12,-1.851229122653570804e-12,7.507977216584931699e-27,0.000000000000000000e+00
0.000000000000000000e+00,5.400000000000000000e+01,9.271796355088735608e-13,9.271796355088735608e-13,-9.271796355088771959e-13,3.696283801259187423e-27,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,4.368506619870154717e-13,4.368506619870154717e-13,-4.368506619870171882e-13,1.711977642072037141e-27,0.000000000000000000e+00
0.000000000000000000e+00,5.600000000000000000e+01,1.929830920846620673e-13,1.929830920846620673e-13,-1.929830920846627994e-13,7.406406132897159050e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.700000000000000000e+01,7.965732369903130144e-14,7.965732369903130144e-14,-7.965732369903160436e-14,2.995831296532785155e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.800000000000000000e+01,3.061306037132017257e-14,3.061306037132017257e-14,-3.061306037132028617e-14,1.134297550744612363e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.900000000000000000e+01,1.091362277592595657e-14,1.091362277592595657e-14,-1.091362277592599444e-14,3.816144195040556491e-29,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,3.595581244708335755e-15,3.595581244708335755e-15,-3.595581244708348377e-15,1.283208979504519767e-29,0.000000000000000000e+00
0.000000000000000000e+00,6.100000000000000000e+01,1.090479473119739203e-15,1.090479473119739203e-15,-1.090479473119743147e-15,3.960240091762094351e-30,0.000000000000000000e+00
0.000000000000000000e+00,6.200000000000000000e+01,3.032317945863986705e-16,3.032317945863986705e-16,-3.032317945848295769e-16,-1.569058761637367465e-27,0.000000000000000000e+00
