dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,0.000000000000000000e+00,6.074679320849561839e-13
0.000000000000000000e+00,1.000000000000000000e+00,8.452138111664534547e-13
0.000000000000000000e+00,2.000000000000000000e+00,1.161102334111831766e-12
0.000000000000000000e+00,3.000000000000000000e+00,1.575945388657179762e-12
0.000000000000000000e+00,4.000000000000000000e+00,2.114754212336479620e-12
0.000000000000000000e+00,5.000000000000000000e+00,2.807275667197292177e-12
0.000000000000000000e+00,6.000000000000000000e+00,3.688532204786835128e-12
0.000000000000000000e+00,7.000000000000000000e+00,4.799347950521335196e-12
0.000000000000000000e+00,8.000000000000000000e+00,6.186838033011600864e-12
0.000000000000000000e+00,9.000000000000000000e+00,7.904830488631778798e-12
0.000000000000000000e+00,1.000000000000000000e+01,1.001418730943355203e-11
0.000000000000000000e+00,1.100000000000000000e+01,1.258297143918083269e-11
0.000000000000000000e+00,1.200000000000000000e+01,1.568640670899817704e-11
0.000000000000000000e+00,1.300000000000000000e+01,1.940655855367860752e-11
0.000000000000000000e+00,1.400000000000000000e+01,2.383165179464784777e-11
0.000000000000000000e+00,1.500000000000000000e+01,2.905493115430860360e-11
0.000000000000000000e+00,1.600000000000000000e+01,3.517294634904926191e-11
0.000000000000000000e+00,1.700000000000000000e+01,4.228314980598566381e-11
0.000000000000000000e+00,1.800000000000000000e+01,5.048067653157293077e-11
0.000000000000000000e+00,1.900000000000000000e+01,5.985418155511711760e-11
0.000000000000000000e+00,2.000000000000000000e+01,7.048062948188216294e-11
0.000000000000000000e+00,2.100000000000000000e+01,8.241895772704576945e-11
0.000000000000000000e+00,2.200000000000000000e+01,9.570259264143429794e-11
0.000000000000000000e+00,2.300000000000000000e+01,1.103308845343652043e-10
0.000000000000000000e+00,2.400000000000000000e+01,1.262596522946190043e-10
0.000000000000000000e+00,2.500000000000000000e+01,1.433911578290056551e-10
0.000000000000000000e+00,2.600000000000000000e+01,1.615640858940325306e-10
0.000000000000000000e+00,2.700000000000000000e+01,1.805442310751410584e-10
0.000000000000000000e+00,2.800000000000000000e+01,2.000170303935165998e-10
0.000000000000000000e+00,2.900000000000000000e+01,2.195830162684203564e-10
0.000000000000000000e+00,3.000000000000000000e+01,2.387578097574326204e-10
0.000000000000000000e+00,3.100000000000000000e+01,2.569778574814763709e-10
0.000000000000000000e+00,3.200000000000000000e+01,2.736144534444037706e-10
0.000000000000000000e+00,3.300000000000000000e+01,2.879949509852170681e-10
0.000000000000000000e+00,3.400000000000000000e+01,2.994347317850810914e-10
0.000000000000000000e+00,3.500000000000000000e+01,3.072766609647531128e-10
0.000000000000000000e+00,3.600000000000000000e+01,3.109394963007730369e-10
0.000000000000000000e+00,3.700000000000000000e+01,3.099690110926478422e-10
0.000000000000000000e+00,3.800000000000000000e+01,3.040896800304112981e-10
0.000000000000000000e+00,3.900000000000000000e+01,2.932499987278992490e-10
0.000000000000000000e+00,4.000000000000000000e+01,2.776549383210925011e-10
0.000000000000000000e+00,4.100000000000000000e+01,2.577789153433641597e-10
0.000000000000000000e+00,4.200000000000000000e+01,2.343539789506734365e-10
0.000000000000000000e+00,4.300000000000000000e+01,2.083302780923809121e-10
0.000000000000000000e+00,4.400000000000000000e+01,1.808103220513120156e-10
0.000000000000000000e+00,4.500000000000000000e+01,1.529619186141860928e-10
0.000000000000000000e+00,4.600000000000000000e+01,1.259195481796131070e-10
0.000000000000000000e+00,4.700000000000000000e+01,1.006873746545517277e-10
0.000000000000000000e+00,4.800000000000000000e+01,7.805700678995397284e-11
0.000000000000000000e+00,4.900000000000000000e+01,5.855281838824450252e-11
0.000000000000000000e+00,5.000000000000000000e+01,4.241181706340761468e-11
0.000000000000000000e+00,5.100000000000000000e+01,2.960009553439711679e-11
0.000000000000000000e+00,5.200000000000000000e+01,1.986049257617469078e-11
0.000000000000000000e+00,5.300000000000000000e+01,1.278086691511334394e-11
0.000000000000000000e+00,5.400000000000000000e+01,7.869473554763735591e-12
0.000000000000000000e+00,5.500000000000000000e+01,4.624305836265249297e-12
0.000000000000000000e+00,5.600000000000000000e+01,2.586556424586176840e-12
0.000000000000000000e+00,5.700000000000000000e+01,1.373375905473556306e-12
0.000000000000000000e+00,5.800000000000000000e+01,6.902793089774524419e-13
0.000000000000000000e+00,5.900000000000000000e+01,3.274633203168613768e-13
0.000000000000000000e+00,6.000000000000000000e+01,1.461824235726504267e-13
0.000000000000000000e+00,6.100000000000000000e+01,6.121721907899463048e-14
0.000000000000000000e+00,6.200000000000000000e+01,2.397217807822393658e-14
0.000000000000000000e+00,6.300000000000000000e+01,8.749143508687198360e-15
0.000000000000000000e+00,6.400000000000000000e+01,2.966017418254807058e-15
0.000000000000000000e+00,6.500000000000000000e+01,9.307205681558869232e-16
0.000000000000000000e+00,6.600000000000000000e+01,2.693662682942829517e-16
0.000000000000000000e+00,6.700000000000000000e+01,7.163865565602736570e-17
0.000000000000000000e+00,6.800000000000000000e+01,1.744559537461914155e-17
0.000000000000000000e+00,6.900000000000000000e+01,3.875411834372949614e-18
0.000000000000000000e+00,7.000000000000000000e+01,7.822316798244863344e-19
0.000000000000000000e+00,7.100000000000000000e+01,1.404342136666144085e-19
0.000000000000000000e+00,7.200000000000000000e+01,2.218393343695546716e-20
0.000000000000000000e+00,7.300000000000000000e+01,2.981078281626893013e-21
0.000000000000000000e+00,7.400000000000000000e+01,3.519825996687071510e-22
0.000000000000000000e+00,7.500000000000000000e+01,1.051063738923828028e-22
0.000000000000000000e+00,7.600000000000000000e+01,8.358551169272086022e-23
0.000000000000000000e+00,7.700000000000000000e+01,7.476162552910602326e-23
0.000000000000000000e+00,7.800000000000000000e+01,8.188595111440638685e-23
0.000000000000000000e+00,7.900000000000000000e+01,7.808384850522106848e-23
0.000000000000000000e+00,8.000000000000000000e+01,7.292259326174506207e-23
0.000000000000000000e+00,8.100000000000000000e+01,6.793607041813462557e-23
0.000000000000000000e+00,8.200000000000000000e+01,6.331486187612769916e-23
0.000000000000000000e+00,8.300000000000000000e+01,5.905455284011163496e-23
0.000000000000000000e+00,8.400000000000000000e+01,5.512740027480810656e-23
0.000000000000000000e+00,8.500000000000000000e+01,5.150535403801860950e-23
0.000000000000000000e+00,8.600000000000000000e+01,4.816263909768495366e-23
0.000000000000000000e+00,8.700000000000000000e+01,4.507578791533298889e-23
0.000000000000000000e+00,8.800000000000000000e+01,4.222341588968578010e-23
0.000000000000000000e+00,8.900000000000000000e+01,3.958600874465656540e-23
0.000000000000000000e+00,9.000000000000000000e+01,3.714573402758924270e-23
0.000000000000000000e+00,9.100000000000000000e+01,3.488627026502643944e-23
0.000000000000000000e+00,9.200000000000000000e+01,3.279267196909474605e-23
0.000000000000000000e+00,9.300000000000000000e+01,3.085124593050447103e-23
0.000000000000000000e+00,9.400000000000000000e+01,2.904942395463965987e-23
0.000000000000000000e+00,9.500000000000000000e+01,2.737568231320044717e-23
0.000000000000000000e+00,9.600000000000000000e+01,2.581944857972232595e-23
0.000000000000000000e+00,9.700000000000000000e+01,2.437102957908646217e-23
0.000000000000000000e+00,9.800000000000000000e+01,2.302152781880736525e-23
0.000000000000000000e+00,9.900000000000000000e+01,2.176279561469666179e-23
0.000000000000000000e+00,1.000000000000000000e+02,2.058737197330593760e-23
0.000000000000000000e+00,1.010000000000000000e+02,1.948842456814432818e-23
0.000000000000000000e+00,1.020000000000000000e+02,1.845971179558754268e-23
0.000000000000000000e+00,1.030000000000000000e+02,1.749553491073401365e-23
0.000000000000000000e+00,1.040000000000000000e+02,1.659068381543206132e-23
0.000000000000000000e+00,1.050000000000000000e+02,1.574042571890692838e-23
0.000000000000000000e+00,1.060000000000000000e+02,1.494044515197936939e-23
0.000000000000000000e+00,1.070000000000000000e+02,1.418681250193842455e-23
0.000000000000000000e+00,1.080000000000000000e+02,1.347597646967892229e-23
0.000000000000000000e+00,1.090000000000000000e+02,1.280469206535286217e-23
0.000000000000000000e+00,1.100000000000000000e+02,1.217003723031844857e-23
0.000000000000000000e+00,1.110000000000000000e+02,1.156935228470796069e-23
0.000000000000000000e+00,1.120000000000000000e+02,1.100023585184401738e-23
0.000000000000000000e+00,1.130000000000000000e+02,1.046051674417026882e-23
0.000000000000000000e+00,1.140000000000000000e+02,9.948211213233957739e-24
0.000000000000000000e+00,1.150000000000000000e+02,9.461541578520158863e-24
0.000000000000000000e+00,1.160000000000000000e+02,8.958317107686612264e-24
0.000000000000000000e+00,1.170000000000000000e+02,8.433279633284119144e-24
0.000000000000000000e+00,1.180000000000000000e+02,7.937760890187635178e-24
0.000000000000000000e+00,1.190000000000000000e+02,7.472038362113399881e-24
0.000000000000000000e+00,1.200000000000000000e+02,7.034353685705080366e-24
0.000000000000000000e+00,1.210000000000000000e+02,6.623011722774837414e-24
0.000000000000000000e+00,1.220000000000000000e+02,6.236380397971505284e-24
0.000000000000000000e+00,1.230000000000000000e+02,5.872953141615277113e-24
0.000000000000000000e+00,1.240000000000000000e+02,5.531314779856395690e-24
0.000000000000000000e+00,1.250000000000000000e+02,5.210140490345659647e-24
0.000000000000000000e+00,1.260000000000000000e+02,4.908175961972193326e-24
0.000000000000000000e+00,1.270000000000000000e+02,4.624246199327419190e-24
0.000000000000000000e+00,1.280000000000000000e+02,4.357259989448173992e-24
0.000000000000000000e+00,1.290000000000000000e+02,4.106187046041705291e-24
0.000000000000000000e+00,1.300000000000000000e+02,3.870060050065623571e-24
