Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,0.0,300.0,100.0,9.999999999999998e-21,1.0,1.1126980757652003e-45,1.0,1.938801705297307e-58,0.0
0.0,1.0,300.0,102.0,9.999999999999998e-21,1.0,3.0538181731199857e-22,1.0,2.387707906382665e-35,0.0
0.0,2.0,300.0,104.0,9.999999999999998e-21,1.0,1.7133608618608867e-21,1.0,1.6542395718234353e-34,0.0
0.0,3.0,300.0,106.0,9.999999999999998e-21,1.0,7.8411233447402e-21,1.0,8.485784047315326e-34,0.0
0.0,4.0,300.0,108.0,9.999999999999998e-21,1.0,3.30963858940481e-20,1.0,3.8840835002455864e-33,0.0
0.0,5.0,300.0,110.0,9.999999999999998e-21,1.0,1.3195998091460642e-19,1.0,1.6603413994314658e-32,0.0
0.0,6.0,300.0,112.0,9.999999999999998e-21,1.0,5.005585169671887e-19,1.0,6.722649402118502e-32,0.0
0.0,7.0,300.0,114.0,9.999999999999998e-21,1.0,1.812811527664188e-18,1.0,2.59293938690233e-31,0.0
0.0,8.0,300.0,116.0,9.999999999999998e-21,1.0,6.284438330468269e-18,1.0,9.558303888189438e-31,0.0
0.0,9.0,300.0,118.0,9.999999999999998e-21,1.0,2.090164675716956e-17,1.0,3.3759343173436814e-30,0.0
0.0,10.0,300.0,120.0,9.999999999999998e-21,1.0,6.683378877469301e-17,1.0,1.1449298353240531e-29,0.0
0.0,11.0,300.0,122.0,9.999999999999998e-21,1.0,2.0585005042637123e-16,1.0,3.735946855931659e-29,0.0
0.0,12.0,300.0,124.0,9.999999999999998e-21,1.0,6.118257428820995e-16,0.9999999999999993,1.175068121155725e-28,0.0
0.0,13.0,300.0,126.0,9.999999999999998e-21,1.0,1.7577575151503025e-15,0.9999999999999983,3.5687558956645905e-28,0.0
0.0,14.0,300.0,128.0,9.999999999999998e-21,1.0,4.889127650353549e-15,0.999999999999995,1.0482518328431102e-27,0.0
0.0,15.0,300.0,130.0,9.999999999999998e-21,1.0,1.3185284471624095e-14,0.9999999999999867,2.982425596069046e-27,0.0
0.0,16.0,300.0,132.0,9.999999999999998e-21,1.0,3.4525411440227556e-14,0.9999999999999655,8.230933575294518e-27,0.0
0.0,17.0,300.0,134.0,9.999999999999998e-21,1.0,8.789190710840862e-14,0.9999999999999121,2.2064163411157335e-26,0.0
0.0,18.0,300.0,136.0,9.999999999999998e-21,1.0,2.1779885562500543e-13,0.9999999999997821,5.752199771224279e-26,0.0
0.0,19.0,300.0,138.0,9.999999999999998e-21,1.0,5.259736603763094e-13,0.9999999999994741,1.4601791533711911e-25,0.0
0.0,20.0,300.0,140.0,9.999999999999998e-21,1.0,1.2392254742116724e-12,0.9999999999987607,3.6132039835803187e-25,0.0
0.0,21.0,300.0,142.0,9.999999999999998e-21,1.0,2.8514390074107564e-12,0.9999999999971486,8.724758070151243e-25,0.0
0.0,22.0,300.0,144.0,9.999999999999998e-21,1.0,6.414013183506734e-12,0.9999999999935861,2.0578997307722342e-24,0.0
0.0,23.0,300.0,146.0,9.999999999999998e-21,1.0,1.411721469328905e-11,0.9999999999858827,4.7458790073528046e-24,0.0
0.0,24.0,300.0,148.0,9.999999999999998e-21,1.0,3.042995986380042e-11,0.9999999999695701,1.0710762381374226e-23,0.0
0.0,25.0,300.0,150.0,9.999999999999998e-21,1.0,6.429045905197269e-11,0.9999999999357096,2.3675784541191583e-23,0.0
0.0,26.0,300.0,152.0,9.999999999999998e-21,1.0,1.3323711035717152e-10,0.9999999998667629,5.130011856735641e-23,0.0
0.0,27.0,300.0,154.0,9.999999999999998e-21,1.0,2.7105693774447297e-10,0.999999999728943,1.0904206133929038e-22,0.0
0.0,28.0,300.0,156.0,9.999999999999998e-21,1.0,5.417003353860462e-10,0.9999999994582996,2.2753398040603305e-22,0.0
0.0,29.0,300.0,158.0,9.999999999999998e-21,1.0,1.0641726332368684e-09,0.9999999989358275,4.66416700140025e-22,0.0
0.0,30.0,300.0,160.0,9.999999999999998e-21,1.0,2.0563456978285025e-09,0.9999999979436542,8.726844118991561e-22,0.0
0.0,31.0,300.0,162.0,9.999999999999998e-21,1.0,3.910878061342694e-09,0.9999999960891222,1.6669787817405064e-21,0.0
0.0,32.0,300.0,164.0,9.999999999999998e-21,1.0,7.324817330112792e-09,0.9999999926751827,3.1953750608220153e-21,0.0
0.0,33.0,300.0,166.0,9.999999999999998e-21,1.0,1.351767326463684e-08,0.9999999864823268,6.091535280886447e-21,0.0
0.0,34.0,300.0,168.0,9.999999999999998e-21,1.0,2.4593290806890385e-08,0.9999999754067094,1.1498785348410233e-20,0.0
0.0,35.0,300.0,170.0,9.999999999999998e-21,1.0,4.413236065070202e-08,0.9999999558676396,2.1451045110086513e-20,0.0
0.0,36.0,300.0,172.0,9.999999999999998e-21,1.0,7.815012216515701e-08,0.9999999218498778,3.951746256538778e-20,0.0
0.0,37.0,300.0,174.0,9.999999999999998e-21,1.0,1.3662518899951737e-07,0.9999998633748111,7.187916231220796e-20,0.0
0.0,38.0,300.0,176.0,9.999999999999998e-21,1.0,2.3591091536777685e-07,0.9999997640890845,1.2910524708794276e-19,0.0
0.0,39.0,300.0,178.0,9.999999999999998e-21,1.0,4.0249480175835553e-07,0.9999995975051983,2.2904670729718233e-19,0.0
0.0,40.0,300.0,180.0,9.999999999999998e-21,1.0,6.787938974440337e-07,0.9999993212061026,4.0149669765774657e-19,0.0
0.0,41.0,300.0,182.0,9.999999999999998e-21,1.0,1.1319916093304871e-06,0.9999988680083909,6.956101811687026e-19,0.0
0.0,42.0,300.0,184.0,9.999999999999998e-21,1.0,1.8673689109100986e-06,0.9999981326310893,1.1915866225842252e-18,0.0
0.0,43.0,300.0,186.0,9.999999999999998e-21,1.0,3.0482059224573635e-06,0.9999969517940774,2.015805424107477e-18,0.0
0.0,44.0,300.0,188.0,9.999999999999998e-21,1.0,4.925184348570821e-06,0.9999950748156516,3.3695854944385398e-18,0.0
0.0,45.0,300.0,190.0,9.999999999999998e-21,1.0,7.879373964273077e-06,0.9999921206260358,5.47587622409958e-18,0.0
0.0,46.0,300.0,192.0,9.999999999999998e-21,1.0,1.2484400111244935e-05,0.9999875155998887,8.857179650485512e-18,0.0
0.0,47.0,300.0,194.0,9.999999999999998e-21,1.0,1.9595333887975236e-05,0.9999804046661122,1.4246796625178242e-17,0.0
0.0,48.0,300.0,196.0,9.999999999999998e-21,1.0,3.047419119075547e-05,0.9999695258088092,2.276998684397468e-17,0.0
