dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,1.282756868601092178e-53,1.282756868601092178e-53,-1.282756868601315658e-53,2.235144067228594028e-66,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.306385430886363016e-30,8.306385430886363016e-30,-8.306385430887011817e-30,6.494642014856503176e-43,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,3.829703001172976025e-29,3.829703001172976025e-29,-3.829703001173361102e-29,3.850112356667163626e-42,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.666751395343173372e-28,1.666751395343173372e-28,-1.666751395343359240e-28,1.858197204401000151e-41,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.869431413411748391e-28,6.869431413411748391e-28,-6.869431413412574372e-28,8.256648082235578712e-41,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.689089784559186403e-27,2.689089784559186403e-27,-2.689089784559532221e-27,3.459688428918594087e-40,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.002588018063023671e-26,1.002588018063023671e-26,-1.002588018063161424e-26,1.376959721564601694e-39,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,3.569328189095838046e-26,3.569328189095838046e-26,-3.569328189096360360e-26,5.224279045377921936e-39,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.216282490362709999e-25,1.216282490362709999e-25,-1.216282490362899410e-25,1.894595025267819883e-38,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,3.975880692062749424e-25,3.975880692062749424e-25,-3.975880692063407885e-25,6.582736916954796388e-38,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.249354262876637662e-24,1.249354262876637662e-24,-1.249354262876857333e-24,2.195972796778865681e-37,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,3.781242316925647010e-24,3.781242316925647010e-24,-3.781242316926351572e-24,7.047622364350860504e-37,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.104253883479581264e-23,1.104253883479581264e-23,-1.104253883479799318e-23,2.180024785681557073e-36,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,3.116934420569509629e-23,3.116934420569509629e-23,-3.116934420570160853e-23,6.510880750078462107e-36,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,8.517326767752830817e-23,8.517326767752830817e-23,-8.517326767754711608e-23,1.880557570646978075e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.256554655385587224e-22,2.256554655385587224e-22,-2.256554655386113375e-22,5.260991631536291783e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,5.804514535460140837e-22,5.804514535460140837e-22,-5.804514535461568357e-22,1.427604565389816842e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.451568682174524131e-21,1.451568682174524131e-21,-1.451568682174900477e-21,3.762665429185673419e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,3.533468999651432331e-21,3.533468999651432331e-21,-3.533468999652396800e-21,9.644598697333343559e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,8.382354689235461635e-21,8.382354689235461635e-21,-8.382354689237869048e-21,2.407105573939073009e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,1.940044933632187861e-20,1.940044933632187861e-20,-1.940044933632773464e-20,5.856260185177809975e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,4.385220810301506913e-20,4.385220810301506913e-20,-4.385220810302897194e-20,1.390349722708978956e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,9.690201758981051575e-20,9.690201758981051575e-20,-9.690201758984276304e-20,3.224368981677872794e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,2.095270810660790426e-19,2.095270810660790426e-19,-2.095270810661521557e-19,7.311340178819547774e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,4.437066686379089758e-19,4.437066686379089758e-19,-4.437066686380712354e-19,1.622456614367914999e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,9.210055779182864222e-19,9.210055779182864222e-19,-9.210055779186390600e-19,3.526504760213970971e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,1.875348915501407101e-18,1.875348915501407101e-18,-1.875348915502158599e-18,7.513860195484541831e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,3.748699304934592405e-18,3.748699304934592405e-18,-3.748699304936163194e-18,1.570589795677998451e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,7.361500415850770717e-18,7.361500415850770717e-18,-7.361500415853993953e-18,3.222999168233795182e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,1.421124650154226924e-17,1.421124650154226924e-17,-1.421124650154876810e-17,6.497647557688485303e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.698710734901482271e-17,2.698710734901482271e-17,-2.698710734902770025e-17,1.287764510885816951e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,5.044328026006919269e-17,5.044328026006919269e-17,-5.044328026009430065e-17,2.510573033728581822e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,9.285914801730909702e-17,9.285914801730909702e-17,-9.285914801735726684e-17,4.817524577438475986e-29,0.000000000000000000e+00
