dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,0.000000000000000000e+00,1.065219286347421475e-40
0.000000000000000000e+00,1.000000000000000000e+00,8.306385430886363016e-30
0.000000000000000000e+00,2.000000000000000000e+00,3.829703001172976025e-29
0.000000000000000000e+00,3.000000000000000000e+00,1.666751395343173372e-28
0.000000000000000000e+00,4.000000000000000000e+00,6.869431413411748391e-28
0.000000000000000000e+00,5.000000000000000000e+00,2.689089784559186403e-27
0.000000000000000000e+00,6.000000000000000000e+00,1.002588018063023671e-26
0.000000000000000000e+00,7.000000000000000000e+00,3.569328189095838046e-26
0.000000000000000000e+00,8.000000000000000000e+00,1.216282490362709999e-25
0.000000000000000000e+00,9.000000000000000000e+00,3.975880692062749424e-25
0.000000000000000000e+00,1.000000000000000000e+01,1.249354262876637662e-24
0.000000000000000000e+00,1.100000000000000000e+01,3.781242316925647010e-24
0.000000000000000000e+00,1.200000000000000000e+01,1.104253883479581264e-23
0.000000000000000000e+00,1.300000000000000000e+01,3.116934420569956905e-23
0.000000000000000000e+00,1.400000000000000000e+01,8.517326767755632020e-23
0.000000000000000000e+00,1.500000000000000000e+01,2.256554655387911882e-22
0.000000000000000000e+00,1.600000000000000000e+01,5.804514535476131321e-22
0.000000000000000000e+00,1.700000000000000000e+01,1.451568682184672879e-21
0.000000000000000000e+00,1.800000000000000000e+01,3.533468999713770771e-21
0.000000000000000000e+00,1.900000000000000000e+01,8.382354689597789243e-21
0.000000000000000000e+00,2.000000000000000000e+01,1.940044933832249250e-20
0.000000000000000000e+00,2.100000000000000000e+01,4.385220811355403464e-20
0.000000000000000000e+00,2.200000000000000000e+01,9.690201764280287539e-20
0.000000000000000000e+00,2.300000000000000000e+01,2.095270813210545690e-19
0.000000000000000000e+00,2.400000000000000000e+01,4.437066698138030293e-19
0.000000000000000000e+00,2.500000000000000000e+01,9.210055831247957449e-19
0.000000000000000000e+00,2.600000000000000000e+01,1.875348937670565209e-18
0.000000000000000000e+00,2.700000000000000000e+01,3.748699395849593774e-18
0.000000000000000000e+00,2.800000000000000000e+01,7.361500775463777999e-18
0.000000000000000000e+00,2.900000000000000000e+01,1.421124787541331598e-17
0.000000000000000000e+00,3.000000000000000000e+01,2.698711242517148442e-17
0.000000000000000000e+00,3.100000000000000000e+01,5.044329842117245646e-17
0.000000000000000000e+00,3.200000000000000000e+01,9.285921100857437154e-17
0.000000000000000000e+00,3.300000000000000000e+01,1.684458931619560929e-16
0.000000000000000000e+00,3.400000000000000000e+01,3.012574897197115541e-16
0.000000000000000000e+00,3.500000000000000000e+01,5.314649029064241624e-16
0.000000000000000000e+00,3.600000000000000000e+01,9.252899361719168765e-16
0.000000000000000000e+00,3.700000000000000000e+01,1.590542407747484369e-15
0.000000000000000000e+00,3.800000000000000000e+01,2.700632356329491576e-15
0.000000000000000000e+00,3.900000000000000000e+01,4.531255801843533384e-15
0.000000000000000000e+00,4.000000000000000000e+01,7.515823987154697035e-15
0.000000000000000000e+00,4.100000000000000000e+01,1.232831830634260205e-14
0.000000000000000000e+00,4.200000000000000000e+01,2.000586107110829301e-14
0.000000000000000000e+00,4.300000000000000000e+01,3.212822330592573918e-14
0.000000000000000000e+00,4.400000000000000000e+01,5.107815898844791960e-14
0.000000000000000000e+00,4.500000000000000000e+01,8.041537394924884139e-14
0.000000000000000000e+00,4.600000000000000000e+01,1.254087262425630229e-13
0.000000000000000000e+00,4.700000000000000000e+01,1.937866294156260925e-13
0.000000000000000000e+00,4.800000000000000000e+01,2.967853614009578654e-13
0.000000000000000000e+00,4.900000000000000000e+01,4.505997843239680910e-13
0.000000000000000000e+00,5.000000000000000000e+01,6.783712707455022345e-13
0.000000000000000000e+00,5.100000000000000000e+01,1.012883041686412535e-12
0.000000000000000000e+00,5.200000000000000000e+01,1.500171572894689590e-12
0.000000000000000000e+00,5.300000000000000000e+01,2.204298743383392270e-12
0.000000000000000000e+00,5.400000000000000000e+01,3.213551168311193854e-12
0.000000000000000000e+00,5.500000000000000000e+01,4.648317627161931417e-12
0.000000000000000000e+00,5.600000000000000000e+01,6.670800765058487654e-12
0.000000000000000000e+00,5.700000000000000000e+01,9.496473963927451295e-12
0.000000000000000000e+00,5.800000000000000000e+01,1.340668549034924817e-11
0.000000000000000000e+00,5.900000000000000000e+01,1.876087888187848751e-11
0.000000000000000000e+00,6.000000000000000000e+01,2.600535033524952009e-11
0.000000000000000000e+00,6.100000000000000000e+01,3.567316421147490375e-11
0.000000000000000000e+00,6.200000000000000000e+01,4.836693341265770890e-11
0.000000000000000000e+00,6.300000000000000000e+01,6.471347908144734428e-11
0.000000000000000000e+00,6.400000000000000000e+01,8.527904727306161397e-11
0.000000000000000000e+00,6.500000000000000000e+01,1.104395491624776853e-10
0.000000000000000000e+00,6.600000000000000000e+01,1.402165270773072144e-10
0.000000000000000000e+00,6.700000000000000000e+01,1.741169794053585244e-10
0.000000000000000000e+00,6.800000000000000000e+01,2.110440650201624141e-10
0.000000000000000000e+00,6.900000000000000000e+01,2.493523738228015347e-10
0.000000000000000000e+00,7.000000000000000000e+01,2.870808509165889802e-10
0.000000000000000000e+00,7.100000000000000000e+01,3.223122680824192296e-10
0.000000000000000000e+00,7.200000000000000000e+01,3.535308103165408839e-10
0.000000000000000000e+00,7.300000000000000000e+01,3.798431473373923842e-10
0.000000000000000000e+00,7.400000000000000000e+01,4.010037725539829584e-10
0.000000000000000000e+00,7.500000000000000000e+01,4.172826943230748755e-10
0.000000000000000000e+00,7.600000000000000000e+01,4.292659429220082405e-10
0.000000000000000000e+00,7.700000000000000000e+01,4.376686094232289420e-10
0.000000000000000000e+00,7.800000000000000000e+01,4.432025930964463345e-10
0.000000000000000000e+00,7.900000000000000000e+01,4.465027699827362679e-10
0.000000000000000000e+00,8.000000000000000000e+01,4.480979821026071738e-10
0.000000000000000000e+00,8.100000000000000000e+01,4.484094683621794631e-10
0.000000000000000000e+00,8.200000000000000000e+01,4.477629772778007695e-10
0.000000000000000000e+00,8.300000000000000000e+01,4.464047033421045937e-10
0.000000000000000000e+00,8.400000000000000000e+01,4.445187548944156863e-10
0.000000000000000000e+00,8.500000000000000000e+01,4.422413458647402058e-10
0.000000000000000000e+00,8.600000000000000000e+01,4.396726555736416703e-10
0.000000000000000000e+00,8.700000000000000000e+01,4.368858750433999501e-10
0.000000000000000000e+00,8.800000000000000000e+01,4.339344448711279697e-10
0.000000000000000000e+00,8.900000000000000000e+01,4.308571960047447168e-10
0.000000000000000000e+00,9.000000000000000000e+01,4.276822124867637637e-10
0.000000000000000000e+00,9.100000000000000000e+01,4.244297339924660033e-10
0.000000000000000000e+00,9.200000000000000000e+01,4.211141763665345738e-10
0.000000000000000000e+00,9.300000000000000000e+01,4.177456716053666194e-10
0.000000000000000000e+00,9.400000000000000000e+01,4.143311750529152272e-10
0.000000000000000000e+00,9.500000000000000000e+01,4.108752718381611227e-10
0.000000000000000000e+00,9.600000000000000000e+01,4.073807640396347675e-10
0.000000000000000000e+00,9.700000000000000000e+01,4.038490979465420469e-10
0.000000000000000000e+00,9.800000000000000000e+01,4.002806745552293224e-10
0.000000000000000000e+00,9.900000000000000000e+01,3.966750746051780091e-10
0.000000000000000000e+00,1.000000000000000000e+02,3.189492653066306348e-10
0.000000000000000000e+00,1.010000000000000000e+02,2.401197353243640938e-10
0.000000000000000000e+00,1.020000000000000000e+02,2.044521015671558379e-10
0.000000000000000000e+00,1.030000000000000000e+02,1.840528730201794568e-10
0.000000000000000000e+00,1.040000000000000000e+02,1.710320956187265008e-10
0.000000000000000000e+00,1.050000000000000000e+02,1.621638060276640204e-10
0.000000000000000000e+00,1.060000000000000000e+02,1.558579850339498821e-10
0.000000000000000000e+00,1.070000000000000000e+02,1.512334899581181549e-10
0.000000000000000000e+00,1.080000000000000000e+02,1.477608789134532676e-10
0.000000000000000000e+00,1.090000000000000000e+02,1.451027047895333792e-10
0.000000000000000000e+00,1.100000000000000000e+02,1.430341045777733924e-10
0.000000000000000000e+00,1.110000000000000000e+02,1.414000039582035459e-10
0.000000000000000000e+00,1.120000000000000000e+02,1.400905408953059728e-10
0.000000000000000000e+00,1.130000000000000000e+02,1.390262045890932844e-10
0.000000000000000000e+00,1.140000000000000000e+02,1.381484572947202294e-10
0.000000000000000000e+00,1.150000000000000000e+02,1.374136008970785416e-10
0.000000000000000000e+00,1.160000000000000000e+02,1.367886430427573524e-10
0.000000000000000000e+00,1.170000000000000000e+02,1.362484392337526898e-10
0.000000000000000000e+00,1.180000000000000000e+02,1.357736741588411420e-10
0.000000000000000000e+00,1.190000000000000000e+02,1.353494097320573410e-10
0.000000000000000000e+00,1.200000000000000000e+02,1.349640246540654507e-10
0.000000000000000000e+00,1.210000000000000000e+02,1.346084298732293489e-10
0.000000000000000000e+00,1.220000000000000000e+02,1.342754818171895077e-10
0.000000000000000000e+00,1.230000000000000000e+02,1.339595394861089922e-10
0.000000000000000000e+00,1.240000000000000000e+02,1.336561275170055386e-10
0.000000000000000000e+00,1.250000000000000000e+02,1.333616781512494755e-10
0.000000000000000000e+00,1.260000000000000000e+02,1.330733324921932182e-10
0.000000000000000000e+00,1.270000000000000000e+02,1.327887866651408401e-10
0.000000000000000000e+00,1.280000000000000000e+02,1.325061722117219477e-10
0.000000000000000000e+00,1.290000000000000000e+02,1.322239627353185958e-10
0.000000000000000000e+00,1.300000000000000000e+02,1.319409007755067574e-10
0.000000000000000000e+00,1.310000000000000000e+02,1.316559403375148120e-10
0.000000000000000000e+00,1.320000000000000000e+02,1.313682015817026131e-10
0.000000000000000000e+00,1.330000000000000000e+02,1.310769349886940399e-10
0.000000000000000000e+00,1.340000000000000000e+02,1.307814929288546500e-10
0.000000000000000000e+00,1.350000000000000000e+02,1.304813070315229579e-10
0.000000000000000000e+00,1.360000000000000000e+02,1.301758701063376256e-10
0.000000000000000000e+00,1.370000000000000000e+02,1.298647216434099891e-10
0.000000000000000000e+00,1.380000000000000000e+02,1.295474355517374628e-10
0.000000000000000000e+00,1.390000000000000000e+02,1.292236065906316902e-10
0.000000000000000000e+00,1.400000000000000000e+02,1.288928516828150855e-10
0.000000000000000000e+00,1.410000000000000000e+02,1.285548008661766627e-10
0.000000000000000000e+00,1.420000000000000000e+02,1.282090902626154663e-10
0.000000000000000000e+00,1.430000000000000000e+02,1.278553577100957431e-10
0.000000000000000000e+00,1.440000000000000000e+02,1.274932390560054326e-10
0.000000000000000000e+00,1.450000000000000000e+02,1.271223649649176009e-10
0.000000000000000000e+00,1.460000000000000000e+02,1.267423581229751040e-10
0.000000000000000000e+00,1.470000000000000000e+02,1.263528307439426946e-10
0.000000000000000000e+00,1.480000000000000000e+02,1.259533822999750484e-10
0.000000000000000000e+00,1.490000000000000000e+02,1.255435974143307773e-10
0.000000000000000000e+00,1.500000000000000000e+02,1.251230438642900889e-10
0.000000000000000000e+00,1.510000000000000000e+02,1.246912706513265195e-10
0.000000000000000000e+00,1.520000000000000000e+02,1.242478061023154668e-10
0.000000000000000000e+00,1.530000000000000000e+02,1.237921559708464301e-10
0.000000000000000000e+00,1.540000000000000000e+02,1.233238015117818769e-10
0.000000000000000000e+00,1.550000000000000000e+02,1.228421975052514639e-10
0.000000000000000000e+00,1.560000000000000000e+02,1.306466284902983070e-10
0.000000000000000000e+00,1.570000000000000000e+02,1.600508218859440739e-10
0.000000000000000000e+00,1.580000000000000000e+02,1.980353563583952353e-10
0.000000000000000000e+00,1.590000000000000000e+02,2.480735722338440333e-10
0.000000000000000000e+00,1.600000000000000000e+02,3.153723686585898711e-10
0.000000000000000000e+00,1.610000000000000000e+02,4.074352938340820204e-10
0.000000000000000000e+00,1.620000000000000000e+02,5.328665263370526432e-10
0.000000000000000000e+00,1.630000000000000000e+02,6.885451231293539602e-10
0.000000000000000000e+00,1.640000000000000000e+02,5.255649775033730226e-10
0.000000000000000000e+00,1.650000000000000000e+02,1.112353538309639245e-10
0.000000000000000000e+00,1.660000000000000000e+02,9.028590118622039068e-11
0.000000000000000000e+00,1.670000000000000000e+02,7.814401789075989866e-11
0.000000000000000000e+00,1.680000000000000000e+02,7.015964134110855289e-11
0.000000000000000000e+00,1.690000000000000000e+02,6.449117848783091323e-11
0.000000000000000000e+00,1.700000000000000000e+02,6.024772790468010612e-11
0.000000000000000000e+00,1.710000000000000000e+02,5.694148299448285631e-11
0.000000000000000000e+00,1.720000000000000000e+02,5.428148070430609936e-11
0.000000000000000000e+00,1.730000000000000000e+02,5.208286576309956596e-11
0.000000000000000000e+00,1.740000000000000000e+02,5.022235504343437309e-11
0.000000000000000000e+00,1.750000000000000000e+02,4.861449833582725657e-11
0.000000000000000000e+00,1.760000000000000000e+02,4.719818082417338969e-11
0.000000000000000000e+00,1.770000000000000000e+02,4.592853757111913021e-11
0.000000000000000000e+00,1.780000000000000000e+02,4.477189607688346527e-11
0.000000000000000000e+00,1.790000000000000000e+02,4.370249436421842895e-11
0.000000000000000000e+00,1.800000000000000000e+02,4.270028373313190922e-11
0.000000000000000000e+00,1.810000000000000000e+02,4.174942286215117260e-11
0.000000000000000000e+00,1.820000000000000000e+02,4.083721487789717446e-11
0.000000000000000000e+00,1.830000000000000000e+02,3.995334172084657515e-11
0.000000000000000000e+00,1.840000000000000000e+02,3.908930500010409260e-11
0.000000000000000000e+00,1.850000000000000000e+02,3.823801017890565065e-11
0.000000000000000000e+00,1.860000000000000000e+02,3.739345165405016720e-11
0.000000000000000000e+00,1.870000000000000000e+02,3.655047266728018324e-11
0.000000000000000000e+00,1.880000000000000000e+02,3.570458455575487194e-11
0.000000000000000000e+00,1.890000000000000000e+02,3.485182370279980335e-11
0.000000000000000000e+00,1.900000000000000000e+02,3.398864006656315327e-11
0.000000000000000000e+00,1.910000000000000000e+02,3.311181092093119568e-11
0.000000000000000000e+00,1.920000000000000000e+02,3.221837553266300577e-11
0.000000000000000000e+00,1.930000000000000000e+02,3.130558848442186508e-11
0.000000000000000000e+00,1.940000000000000000e+02,3.037088649437729679e-11
0.000000000000000000e+00,1.950000000000000000e+02,2.941186893462410804e-11
0.000000000000000000e+00,1.960000000000000000e+02,2.842629233421439476e-11
0.000000000000000000e+00,1.970000000000000000e+02,2.741207892894235193e-11
0.000000000000000000e+00,1.980000000000000000e+02,2.636733992728066313e-11
0.000000000000000000e+00,1.990000000000000000e+02,2.529041486486597955e-11
0.000000000000000000e+00,2.000000000000000000e+02,2.417992972481222494e-11
0.000000000000000000e+00,2.010000000000000000e+02,2.303487740949703651e-11
0.000000000000000000e+00,2.020000000000000000e+02,2.185472140610215258e-11
0.000000000000000000e+00,2.030000000000000000e+02,2.063952731280665688e-11
0.000000000000000000e+00,2.040000000000000000e+02,1.939012543431260056e-11
0.000000000000000000e+00,2.050000000000000000e+02,1.810830450133207387e-11
0.000000000000000000e+00,2.060000000000000000e+02,1.679703739527268400e-11
0.000000000000000000e+00,2.070000000000000000e+02,1.546073350624873005e-11
0.000000000000000000e+00,2.080000000000000000e+02,1.410550756159242732e-11
0.000000000000000000e+00,2.090000000000000000e+02,1.273944526479615998e-11
0.000000000000000000e+00,2.100000000000000000e+02,1.137283293533239683e-11
0.000000000000000000e+00,2.110000000000000000e+02,1.001830540124104286e-11
0.000000000000000000e+00,2.120000000000000000e+02,8.690846379903196483e-12
0.000000000000000000e+00,2.130000000000000000e+02,7.407564001468741047e-12
0.000000000000000000e+00,2.140000000000000000e+02,6.187155940419563194e-12
0.000000000000000000e+00,2.150000000000000000e+02,5.048992595542201463e-12
0.000000000000000000e+00,2.160000000000000000e+02,4.011789877450314297e-12
0.000000000000000000e+00,2.170000000000000000e+02,3.091924711801155481e-12
0.000000000000000000e+00,2.180000000000000000e+02,2.301566125389289090e-12
0.000000000000000000e+00,2.190000000000000000e+02,1.646927922803640336e-12
0.000000000000000000e+00,2.200000000000000000e+02,1.127047647852503608e-12
0.000000000000000000e+00,2.210000000000000000e+02,7.334947515904358282e-13
0.000000000000000000e+00,2.220000000000000000e+02,4.512563124350485803e-13
0.000000000000000000e+00,2.230000000000000000e+02,2.607475522351450330e-13
0.000000000000000000e+00,2.240000000000000000e+02,1.405388892093494891e-13
0.000000000000000000e+00,2.250000000000000000e+02,7.013864762568648051e-14
0.000000000000000000e+00,2.260000000000000000e+02,3.215757926656311047e-14
0.000000000000000000e+00,2.270000000000000000e+02,1.343081184124163224e-14
0.000000000000000000e+00,2.280000000000000000e+02,5.063530800705106278e-15
0.000000000000000000e+00,2.290000000000000000e+02,1.706323215200550825e-15
0.000000000000000000e+00,2.300000000000000000e+02,5.084768479460256109e-16
0.000000000000000000e+00,2.310000000000000000e+02,1.324501398213531908e-16
0.000000000000000000e+00,2.320000000000000000e+02,2.978130633144830383e-17
0.000000000000000000e+00,2.330000000000000000e+02,5.704420765470750010e-18
0.000000000000000000e+00,2.340000000000000000e+02,9.158127793843040365e-19
0.000000000000000000e+00,2.350000000000000000e+02,1.190740808856421594e-19
0.000000000000000000e+00,2.360000000000000000e+02,1.191068475155585817e-20
0.000000000000000000e+00,2.370000000000000000e+02,8.584095360643293777e-22
0.000000000000000000e+00,2.380000000000000000e+02,9.401561759294548220e-23
0.000000000000000000e+00,2.390000000000000000e+02,2.572544923185106898e-24
0.000000000000000000e+00,2.400000000000000000e+02,2.556833400862205644e-24
0.000000000000000000e+00,2.410000000000000000e+02,2.438788016165546209e-24
0.000000000000000000e+00,2.420000000000000000e+02,2.252718906059306382e-24
0.000000000000000000e+00,2.430000000000000000e+02,2.034354850086649422e-24
0.000000000000000000e+00,2.440000000000000000e+02,1.803587242665872189e-24
0.000000000000000000e+00,2.450000000000000000e+02,1.574150047807580701e-24
0.000000000000000000e+00,2.460000000000000000e+02,1.270072130446741174e-24
0.000000000000000000e+00,2.470000000000000000e+02,1.004212749205434447e-24
0.000000000000000000e+00,2.480000000000000000e+02,5.040383853037734665e-25
0.000000000000000000e+00,2.490000000000000000e+02,3.878292512787369218e-25
0.000000000000000000e+00,2.500000000000000000e+02,2.983605241129548199e-25
0.000000000000000000e+00,2.510000000000000000e+02,2.294311073548491447e-25
0.000000000000000000e+00,2.520000000000000000e+02,1.763727359214716509e-25
0.000000000000000000e+00,2.530000000000000000e+02,1.355621007949017470e-25
0.000000000000000000e+00,2.540000000000000000e+02,1.041968122723854218e-25
0.000000000000000000e+00,2.550000000000000000e+02,8.010020809193691053e-26
0.000000000000000000e+00,2.560000000000000000e+02,6.157650008241635603e-26
0.000000000000000000e+00,2.570000000000000000e+02,4.736318703460942583e-26
0.000000000000000000e+00,2.580000000000000000e+02,3.644032082501949846e-26
0.000000000000000000e+00,2.590000000000000000e+02,2.804934305192964689e-26
0.000000000000000000e+00,2.600000000000000000e+02,2.160390916461456921e-26
0.000000000000000000e+00,2.610000000000000000e+02,1.664933903151179834e-26
0.000000000000000000e+00,2.620000000000000000e+02,1.284304594707192379e-26
0.000000000000000000e+00,2.630000000000000000e+02,9.905791465236772300e-27
0.000000000000000000e+00,2.640000000000000000e+02,7.653029295394140288e-27
0.000000000000000000e+00,2.650000000000000000e+02,5.917828045259461176e-27
0.000000000000000000e+00,2.660000000000000000e+02,4.577497124116054935e-27
0.000000000000000000e+00,2.670000000000000000e+02,8.631413346981957492e-27
0.000000000000000000e+00,2.680000000000000000e+02,3.496037307923163945e-27
0.000000000000000000e+00,2.690000000000000000e+02,3.273423500706993412e-26
0.000000000000000000e+00,2.700000000000000000e+02,5.170143082294826802e-26
0.000000000000000000e+00,2.710000000000000000e+02,6.310534274781627272e-26
0.000000000000000000e+00,2.720000000000000000e+02,6.899453411063998470e-26
0.000000000000000000e+00,2.730000000000000000e+02,5.829955417560984679e-26
0.000000000000000000e+00,2.740000000000000000e+02,4.917902877707492137e-26
0.000000000000000000e+00,2.750000000000000000e+02,4.134367466098146204e-26
0.000000000000000000e+00,2.760000000000000000e+02,3.420391256892900913e-26
0.000000000000000000e+00,2.770000000000000000e+02,2.830632741961014318e-26
0.000000000000000000e+00,2.780000000000000000e+02,2.344703081399971067e-26
0.000000000000000000e+00,2.790000000000000000e+02,1.943588835769627522e-26
0.000000000000000000e+00,2.800000000000000000e+02,1.611785402951044567e-26
0.000000000000000000e+00,2.810000000000000000e+02,1.338033094126757830e-26
0.000000000000000000e+00,2.820000000000000000e+02,1.111565220628320286e-26
0.000000000000000000e+00,2.830000000000000000e+02,9.243605249786021484e-27
0.000000000000000000e+00,2.840000000000000000e+02,7.693925749706253782e-27
0.000000000000000000e+00,2.850000000000000000e+02,6.393181806994585697e-27
0.000000000000000000e+00,2.860000000000000000e+02,5.334135235252213136e-27
0.000000000000000000e+00,2.870000000000000000e+02,4.442646404323508338e-27
0.000000000000000000e+00,2.880000000000000000e+02,3.737545853498474454e-27
0.000000000000000000e+00,2.890000000000000000e+02,3.096747842396528418e-27
0.000000000000000000e+00,2.900000000000000000e+02,1.788449307070317723e-27
0.000000000000000000e+00,2.910000000000000000e+02,1.461133655143287139e-27
0.000000000000000000e+00,2.920000000000000000e+02,1.194175233318549617e-27
0.000000000000000000e+00,2.930000000000000000e+02,9.747123142970915482e-28
0.000000000000000000e+00,2.940000000000000000e+02,8.010679487466174317e-28
0.000000000000000000e+00,2.950000000000000000e+02,6.583262726747409943e-28
0.000000000000000000e+00,2.960000000000000000e+02,5.437508405570417845e-28
0.000000000000000000e+00,2.970000000000000000e+02,4.473312282659850378e-28
0.000000000000000000e+00,2.980000000000000000e+02,3.713830596146115186e-28
0.000000000000000000e+00,2.990000000000000000e+02,3.061845231146150422e-28
0.000000000000000000e+00,3.000000000000000000e+02,2.507888436423969959e-28
0.000000000000000000e+00,3.010000000000000000e+02,2.085514365323795841e-28
0.000000000000000000e+00,3.020000000000000000e+02,1.723796374486503998e-28
0.000000000000000000e+00,3.030000000000000000e+02,1.434342224242848587e-28
0.000000000000000000e+00,3.040000000000000000e+02,1.187203342845743519e-28
0.000000000000000000e+00,3.050000000000000000e+02,9.794195157853548486e-29
0.000000000000000000e+00,3.060000000000000000e+02,8.143799584666287773e-29
0.000000000000000000e+00,3.070000000000000000e+02,6.662330938019877242e-29
0.000000000000000000e+00,3.080000000000000000e+02,5.592204214455015407e-29
0.000000000000000000e+00,3.090000000000000000e+02,4.746375505185244407e-29
0.000000000000000000e+00,3.100000000000000000e+02,3.918131138160836492e-29
0.000000000000000000e+00,3.110000000000000000e+02,3.191543973985370716e-29
