AcH - T,AcH - I,dT,dt,time,AcHBackgroundSubtracted,"Integral by ""Signal"" * seconds",Cumulative integral,Theta(ML),Theta(ML) zero after 325,dTheta/dt,negRT,"""Ea"" from ln(-Rate/1E13/Theta)*-RT",Errors
152.96,65.0804,0.77,0.385,0,0.0404,0.015554,-0.035728,1.00003498,1.00003498,-3.96E-05,-1271.78592,50962.33464,0.0025
153.73,65.1545,0.77,0.385,0.385,0.1145,0.0440825,0.0083545,0.99999182,0.99999182,-0.000112104,-1278.188085,49887.27756,0.0025
154.5,65.249,0.77,0.385,0.77,0.209,0.080465,0.0888195,0.999913039,0.999913039,-0.000204626,-1284.59025,49364.03654,0.0025
155.27,65.3637,0.77,0.385,1.155,0.3237,0.1246245,0.213444,0.999791023,0.999791023,-0.000316925,-1290.992415,49045.11329,0.0025
156.04,65.4992,0.77,0.385,1.54,0.4592,0.176792,0.390236,0.999617931,0.999617931,-0.00044959,-1297.39458,48834.45019,0.0025
156.81,65.6559,0.77,0.385,1.925,0.6159,0.2371215,0.6273575,0.999385772,0.999385772,-0.00060301,-1303.796745,48692.33428,0.0025
157.58,65.8276,0.77,0.385,2.31,0.7876,0.303226,0.9305835,0.999088892,0.999088892,-0.000771117,-1310.19891,48608.85848,0.0025
158.35,66.014,0.77,0.385,2.695,0.974,0.37499,1.3055735,0.99872175,0.99872175,-0.000953616,-1316.601075,48566.22357,0.0025
159.12,66.2132,0.77,0.385,3.08,1.1732,0.451682,1.7572555,0.998279521,0.998279521,-0.001148647,-1323.00324,48555.61481,0.0025
159.89,66.4273,0.77,0.385,3.465,1.3873,0.5341105,2.291366,0.997756589,0.997756589,-0.001358266,-1329.405405,48567.04373,0.0025
160.66,66.6543,0.77,0.385,3.85,1.6143,0.6215055,2.9128715,0.997148091,0.997148091,-0.001580515,-1335.80757,48597.68755,0.0025
161.43,66.8937,0.77,0.385,4.235,1.8537,0.7136745,3.626546,0.996449352,0.996449352,-0.001814905,-1342.209735,48644.05854,0.0025
162.2,67.1458,0.77,0.385,4.62,2.1058,0.810733,4.437279,0.995655587,0.995655587,-0.002061729,-1348.6119,48703.04568,0.0025
162.97,67.4085,0.77,0.385,5.005,2.3685,0.9118725,5.3491515,0.994762798,0.994762798,-0.002318931,-1355.014065,48773.73712,0.0025
163.74,67.6839,0.77,0.385,5.39,2.6439,1.0179015,6.367053,0.9937662,0.9937662,-0.002588567,-1361.41623,48853.06505,0.0025
164.51,67.9703,0.77,0.385,5.775,2.9303,1.1281655,7.4952185,0.992661645,0.992661645,-0.002868973,-1367.818395,48940.59949,0.0025
165.28,68.2639,0.77,0.385,6.16,3.2239,1.2412015,8.73642,0.99144642,0.99144642,-0.003156429,-1374.22056,49036.76566,0.0025
166.05,68.5611,0.77,0.385,6.545,3.5211,1.3556235,10.0920435,0.990119168,0.990119168,-0.003447409,-1380.622725,49141.62117,0.0025
166.82,68.8574,0.77,0.385,6.93,3.8174,1.469699,11.5617425,0.988680228,0.988680228,-0.003737507,-1387.02489,49255.41515,0.0025
167.59,69.1427,0.77,0.385,7.315,4.1027,1.5795395,13.141282,0.987133746,0.987133746,-0.004016837,-1393.427055,49380.15244,0.0025
168.36,69.4098,0.77,0.385,7.7,4.3698,1.682373,14.823655,0.985486582,0.985486582,-0.004278347,-1399.82922,49516.40413,0.0025
169.13,69.6498,0.77,0.385,8.085,4.6098,1.774773,16.598428,0.983748953,0.983748953,-0.004513324,-1406.231385,49665.20005,0.0025
169.9,69.8624,0.77,0.385,8.47,4.8224,1.856624,18.455052,0.981931185,0.981931185,-0.004721474,-1412.63355,49825.0069,0.0025
170.67,70.0468,0.77,0.385,8.855,5.0068,1.927618,20.38267,0.980043909,0.980043909,-0.004902015,-1419.035715,49994.83801,0.0025
