x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.850000000000000089e-01,1.555400000000000050e-05,3.139673420237831889e-03,6.723725004066820939e-04,8.774429422172426831e-04
7.700000000000000178e-01,5.963650000000000407e-05,6.329180832653295494e-03,1.373242334139609640e-03,1.787438208158853136e-03
1.155000000000000027e+00,1.401015000000000138e-04,9.568908480149164453e-03,2.103755965263116954e-03,2.731097091492358866e-03
1.540000000000000036e+00,2.647260000000000130e-04,1.285923276269273011e-02,2.865101689559300824e-03,3.709563371049386018e-03
1.925000000000000044e+00,4.415180000000000103e-04,1.620051942448200860e-02,3.658510750032420086e-03,4.724013819120927334e-03
2.310000000000000053e+00,6.786394999999999320e-04,1.959312303962488719e-02,4.485258638328566000e-03,5.775658878536153902e-03
2.694999999999999840e+00,9.818654999999999050e-04,2.303738672541756627e-02,5.346666286134729544e-03,6.865743222238317699e-03
3.080000000000000071e+00,1.356855500000000081e-03,2.653364149555985027e-02,6.244101305855457446e-03,7.995546317550646445e-03
3.464999999999999858e+00,1.808537499999999989e-03,3.008220568603275913e-02,7.178979212360698733e-03,9.166382970225877766e-03
3.850000000000000089e+00,2.342648000000000126e-03,3.368338442759620521e-02,8.152764651956344658e-03,1.037960384756196966e-02
4.235000000000000320e+00,2.964153500000000357e-03,3.733746905921419418e-02,9.166972627534309900e-03,1.163659597266977243e-02
4.620000000000000107e+00,3.677828000000000173e-03,4.104473656710123930e-02,1.022316971192707875e-02,1.293878319127320965e-02
5.004999999999999893e+00,4.488561000000000287e-03,4.480544900681132647e-02,1.132297524312003527e-02,1.428762659489358350e-02
5.389999999999999680e+00,5.400433499999999359e-03,4.861985291614621951e-02,1.246806249477077841e-02,1.568462492961145496e-02
5.775000000000000355e+00,6.418335000000000706e-03,5.248817872028269799e-02,1.366015984424354124e-02,1.713131495240017080e-02
6.160000000000000142e+00,7.546500499999999993e-03,5.641064013958407147e-02,1.490105189912522242e-02,1.862927174109739459e-02
6.544999999999999929e+00,8.787701999999999666e-03,6.038743359006257944e-02,1.619258058524743193e-02,2.018010895568468979e-02
6.929999999999999716e+00,1.014332549999999791e-02,6.441873758514134185e-02,1.753664618408667594e-02,2.178547904959903317e-02
7.315000000000000391e+00,1.161302450000000104e-02,6.850471212323738790e-02,1.893520833692353619e-02,2.344707341865598371e-02
7.700000000000000178e+00,1.319256400000000037e-02,7.264549806385431352e-02,2.039028696948921859e-02,2.516662248842432142e-02
8.085000000000000853e+00,1.487493700000000300e-02,7.684121650472174048e-02,2.190396316786093200e-02,2.694589573176463249e-02
8.470000000000000639e+00,1.664971000000000159e-02,8.109196815832453442e-02,2.347837996965882260e-02,2.878670161036919403e-02
8.855000000000000426e+00,1.850633399999999928e-02,8.539783275870445334e-02,2.511574306262867595e-02,3.069088743681964992e-02
9.240000000000000213e+00,2.043395199999999828e-02,8.975886841827766804e-02,2.681832139294799966e-02,3.266033914787425801e-02
9.625000000000000000e+00,2.242343949999999614e-02,9.417511098766427613e-02,2.858844766456185293e-02,3.469698098380057105e-02
1.000999999999999979e+01,2.446597999999999482e-02,9.864657348324705477e-02,3.042851871270543795e-02,3.680277507085953637e-02
1.039499999999999957e+01,2.655391199999999202e-02,1.031732454217493544e-01,3.234099574955936335e-02,3.897972088680272396e-02
1.077999999999999936e+01,2.868161449999999044e-02,1.077550922008755491e-01,3.432840445207626517e-02,4.122985460963504017e-02
1.116499999999999915e+01,3.084550699999998730e-02,1.123920545088481493e-01,3.639333487940546452e-02,4.355524834082546981e-02
1.155000000000000071e+01,3.304324099999999403e-02,1.170840477060100387e-01,3.853844120838115228e-02,4.595800922683922207e-02
1.193500000000000050e+01,3.527246799999999433e-02,1.218309611935208675e-01,4.076644131184269104e-02,4.844027841469242951e-02
1.232000000000000028e+01,3.753222549999999519e-02,1.266326578032622163e-01,4.308011609726277585e-02,5.100422983911023084e-02
1.270500000000000007e+01,3.982262899999999134e-02,1.314889731951442153e-01,4.548230859287799577e-02,5.365206885557255445e-02
1.308999999999999986e+01,4.214429449999999161e-02,1.363997152711956540e-01,4.797592278716897307e-02,5.638603073027986801e-02
1.347499999999999964e+01,4.450137999999999316e-02,1.413646636056912487e-01,5.056392222912572260e-02,5.920837899154100803e-02
1.385999999999999943e+01,4.689550249999999143e-02,1.463835688694504200e-01,5.324932831329637350e-02,6.212140350647404191e-02
1.424499999999999922e+01,4.933055049999998665e-02,1.514561522750133282e-01,5.603521822219077742e-02,6.512741838990125653e-02
1.463000000000000078e+01,5.181264549999999719e-02,1.565821050366721923e-01,5.892472253057457615e-02,6.822875976234743511e-02
1.501500000000000057e+01,5.434840949999999310e-02,1.617610878302279398e-01,6.192102249448201701e-02,7.142778320566872674e-02
1.540000000000000036e+01,5.694827599999999213e-02,1.669927301921082519e-01,6.502734692602092637e-02,7.472686099278878780e-02
1.578500000000000014e+01,5.962375649999999278e-02,1.722766300398836936e-01,6.824696860429366185e-02,7.812837919216537863e-02
1.617000000000000171e+01,6.238851850000000365e-02,1.776123531836283354e-01,7.158320024824484096e-02,8.163473442457015727e-02
1.655499999999999972e+01,6.525699949999999583e-02,1.829994328472129561e-01,7.503939007518985183e-02,8.524833030967000902e-02
1.694000000000000128e+01,6.824502300000000188e-02,1.884373692080515417e-01,7.861891685798355622e-02,8.897157374949529740e-02
1.732499999999999929e+01,7.136872049999998247e-02,1.939256289345015205e-01,8.232518438694093332e-02,9.280687095190515157e-02
