AcH - T,AcH - I,dT,dt,time,AcHBackgroundSubtracted,"Integral by ""Signal"" * seconds",Cumulative integral,Theta(ML),Theta(ML) zero after 325,dTheta/dt,negRT,"""Ea"" from ln(-Rate/1E13/Theta)*-RT",Errors
152.96,0.0650804,0.77,0.385,0,0.0000404,0.000015554,-0.000035728,1.00003498,1.00003498,-3.96E-05,-1271.78592,50962.33464,0.00125
153.73,0.0651545,0.77,0.385,0.385,0.0001145,4.41E-05,8.35E-06,0.99999182,0.99999182,-0.000112104,-1278.188085,49887.27756,0.00125
154.5,0.065249,0.77,0.385,0.77,0.000209,0.000080465,8.88E-05,0.999913039,0.999913039,-0.000204626,-1284.59025,49364.03654,0.00125
155.27,0.0653637,0.77,0.385,1.155,0.0003237,0.000124625,0.000213444,0.999791023,0.999791023,-0.000316925,-1290.992415,49045.11329,0.00125
156.04,0.0654992,0.77,0.385,1.54,0.0004592,0.000176792,0.000390236,0.999617931,0.999617931,-0.00044959,-1297.39458,48834.45019,0.00125
156.81,0.0656559,0.77,0.385,1.925,0.0006159,0.000237122,0.000627358,0.999385772,0.999385772,-0.00060301,-1303.796745,48692.33428,0.00125
157.58,0.0658276,0.77,0.385,2.31,0.0007876,0.000303226,0.000930584,0.999088892,0.999088892,-0.000771117,-1310.19891,48608.85848,0.00125
158.35,0.066014,0.77,0.385,2.695,0.000974,0.00037499,0.001305574,0.99872175,0.99872175,-0.000953616,-1316.601075,48566.22357,0.00125
159.12,0.0662132,0.77,0.385,3.08,0.0011732,0.000451682,0.001757256,0.998279521,0.998279521,-0.001148647,-1323.00324,48555.61481,0.00125
159.89,0.0664273,0.77,0.385,3.465,0.0013873,0.000534111,0.002291366,0.997756589,0.997756589,-0.001358266,-1329.405405,48567.04373,0.00125
160.66,0.0666543,0.77,0.385,3.85,0.0016143,0.000621506,0.002912872,0.997148091,0.997148091,-0.001580515,-1335.80757,48597.68755,0.00125
161.43,0.0668937,0.77,0.385,4.235,0.0018537,0.000713675,0.003626546,0.996449352,0.996449352,-0.001814905,-1342.209735,48644.05854,0.00125
162.2,0.0671458,0.77,0.385,4.62,0.0021058,0.000810733,0.004437279,0.995655587,0.995655587,-0.002061729,-1348.6119,48703.04568,0.00125
162.97,0.0674085,0.77,0.385,5.005,0.0023685,0.000911873,0.005349152,0.994762798,0.994762798,-0.002318931,-1355.014065,48773.73712,0.00125
163.74,0.0676839,0.77,0.385,5.39,0.0026439,0.001017902,0.006367053,0.9937662,0.9937662,-0.002588567,-1361.41623,48853.06505,0.00125
164.51,0.0679703,0.77,0.385,5.775,0.0029303,0.001128166,0.007495219,0.992661645,0.992661645,-0.002868973,-1367.818395,48940.59949,0.00125
165.28,0.0682639,0.77,0.385,6.16,0.0032239,0.001241202,0.00873642,0.99144642,0.99144642,-0.003156429,-1374.22056,49036.76566,0.00125
166.05,0.0685611,0.77,0.385,6.545,0.0035211,0.001355624,0.010092044,0.990119168,0.990119168,-0.003447409,-1380.622725,49141.62117,0.00125
166.82,0.0688574,0.77,0.385,6.93,0.0038174,0.001469699,0.011561743,0.988680228,0.988680228,-0.003737507,-1387.02489,49255.41515,0.00125
167.59,0.0691427,0.77,0.385,7.315,0.0041027,0.00157954,0.013141282,0.987133746,0.987133746,-0.004016837,-1393.427055,49380.15244,0.00125
168.36,0.0694098,0.77,0.385,7.7,0.0043698,0.001682373,0.014823655,0.985486582,0.985486582,-0.004278347,-1399.82922,49516.40413,0.00125
169.13,0.0696498,0.77,0.385,8.085,0.0046098,0.001774773,0.016598428,0.983748953,0.983748953,-0.004513324,-1406.231385,49665.20005,0.00125
169.9,0.0698624,0.77,0.385,8.47,0.0048224,0.001856624,0.018455052,0.981931185,0.981931185,-0.004721474,-1412.63355,49825.0069,0.00125
170.67,0.0700468,0.77,0.385,8.855,0.0050068,0.001927618,0.02038267,0.980043909,0.980043909,-0.004902015,-1419.035715,49994.83801,0.00125
171.44,0.0702075,0.77,0.385,9.24,0.0051675,0.001989488,0.022372158,0.978096059,0.978096059,-0.005059352,-1425.43788,50172.52788,0.00125
172.21,0.0703453,0.77,0.385,9.625,0.0053053,0.002042541,0.024414698,0.976096266,0.976096266,-0.005194268,-1431.840045,50357.25845,0.00125
172.98,0.0704632,0.77,0.385,10.01,0.0054232,0.002087932,0.02650263,0.974052031,0.974052031,-0.0053097,-1438.24221,50547.79267,0.00125
173.75,0.0705665,0.77,0.385,10.395,0.0055265,0.002127703,0.028630333,0.971968858,0.971968858,-0.005410838,-1444.644375,50742.44877,0.00125
174.52,0.0706605,0.77,0.385,10.78,0.0056205,0.002163893,0.030794225,0.969850253,0.969850253,-0.005502871,-1451.04654,50939.68224,0.00125
175.29,0.0707484,0.77,0.385,11.165,0.0057084,0.002197734,0.032991959,0.967698514,0.967698514,-0.005588932,-1457.448705,51138.57926,0.00125
176.06,0.0708302,0.77,0.385,11.55,0.0057902,0.002229227,0.035221186,0.965515942,0.965515942,-0.00566902,-1463.85087,51339.08366,0.00125
176.83,0.0709095,0.77,0.385,11.935,0.0058695,0.002259758,0.037480944,0.963303477,0.963303477,-0.00574666,-1470.253035,51540.24339,0.00125
177.6,0.0709891,0.77,0.385,12.32,0.0059491,0.002290404,0.039771347,0.961061009,0.961061009,-0.005824594,-1476.6552,51741.34078,0.00125
178.37,0.0710703,0.77,0.385,12.705,0.0060303,0.002321666,0.042093013,0.958787932,0.958787932,-0.005904095,-1483.057365,51942.05242,0.00125
179.14,0.0711623,0.77,0.385,13.09,0.0061223,0.002357086,0.044450098,0.956480177,0.956480177,-0.005994169,-1489.45953,52140.13807,0.00125
179.91,0.0712585,0.77,0.385,13.475,0.0062185,0.002394123,0.046844221,0.95413616,0.95413616,-0.006088356,-1495.861695,52337.26061,0.00125
180.68,0.0713648,0.77,0.385,13.86,0.0063248,0.002435048,0.049279269,0.951752074,0.951752074,-0.006192431,-1502.26386,52532.03848,0.00125
181.45,0.071487,0.77,0.385,14.245,0.006447,0.002482095,0.051761364,0.949321926,0.949321926,-0.006312074,-1508.666025,52723.18548,0.00125
182.22,0.0716264,0.77,0.385,14.63,0.0065864,0.002535764,0.054297128,0.946839231,0.946839231,-0.006448556,-1515.06819,52910.54344,0.00125
182.99,0.0717929,0.77,0.385,15.015,0.0067529,0.002599867,0.056896994,0.944293776,0.944293776,-0.006611572,-1521.470355,53092.04599,0.00125
183.76,0.0719893,0.77,0.385,15.4,0.0069493,0.002675481,0.059572475,0.94167429,0.94167429,-0.006803861,-1527.87252,53267.40431,0.00125
184.53,0.0722212,0.77,0.385,15.785,0.0071812,0.002764762,0.062337237,0.93896739,0.93896739,-0.007030908,-1534.274685,53435.82781,0.00125
185.3,0.0724906,0.77,0.385,16.17,0.0074506,0.002868481,0.065205718,0.936158942,0.936158942,-0.00729467,-1540.67685,53597.44765,0.00125
186.07,0.0728011,0.77,0.385,16.555,0.0077611,0.002988024,0.068193741,0.933233454,0.933233454,-0.007598672,-1547.079015,53752.15909,0.00125
186.84,0.0731535,0.77,0.385,16.94,0.0081135,0.003123698,0.071317439,0.930175131,0.930175131,-0.007943696,-1553.48118,53900.5157,0.00125
187.61,0.0735451,0.77,0.385,17.325,0.0085051,0.003274464,0.074591902,0.926969197,0.926969197,-0.008327101,-1559.883345,54043.73583,0.00125
188.38,0.0739785,0.77,0.385,17.71,0.0089385,0.003441323,0.078033225,0.923599896,0.923599896,-0.00875143,-1566.28551,54181.99467,0.00125
189.15,0.0744518,0.77,0.385,18.095,0.0094118,0.003623543,0.081656768,0.920052188,0.920052188,-0.009214825,-1572.687675,54316.26497,0.00125
189.92,0.0749573,0.77,0.385,18.48,0.0099173,0.003818161,0.085474928,0.916313936,0.916313936,-0.009709746,-1579.08984,54448.33649,0.00125
190.69,0.0754929,0.77,0.385,18.865,0.0104529,0.004024367,0.089499295,0.912373794,0.912373794,-0.010234136,-1585.492005,54578.86129,0.00125
191.46,0.0760549,0.77,0.385,19.25,0.0110149,0.004240737,0.093740031,0.90822181,0.90822181,-0.010784374,-1591.89417,54708.62149,0.00125
192.23,0.0766444,0.77,0.385,19.635,0.0116044,0.004467694,0.098207725,0.903847618,0.903847618,-0.011361537,-1598.296335,54837.60046,0.00125
193,0.0772634,0.77,0.385,20.02,0.0122234,0.004706009,0.102913734,0.899240099,0.899240099,-0.011967582,-1604.6985,54965.66514,0.00125
193.77,0.0779076,0.77,0.385,20.405,0.0128676,0.004954026,0.10786776,0.894389753,0.894389753,-0.0125983,-1611.100665,55093.49795,0.00125
194.54,0.0785664,0.77,0.385,20.79,0.0135264,0.005207664,0.113075424,0.889291078,0.889291078,-0.013243312,-1617.50283,55222.41702,0.00125
195.31,0.0792378,0.77,0.385,21.175,0.0141978,0.005466153,0.118541577,0.883939324,0.883939324,-0.013900661,-1623.904995,55352.52024,0.00125
196.08,0.0799221,0.77,0.385,21.56,0.0148821,0.005729609,0.124271186,0.878329627,0.878329627,-0.01457064,-1630.30716,55483.62348,0.00125
196.85,0.0806178,0.77,0.385,21.945,0.0155778,0.005997453,0.130268639,0.872457692,0.872457692,-0.01525178,-1636.709325,55615.74978,0.00125
197.62,0.0813168,0.77,0.385,22.33,0.0162768,0.006266568,0.136535207,0.866322274,0.866322274,-0.015936151,-1643.11149,55749.57838,0.00125
198.39,0.0820153,0.77,0.385,22.715,0.0169753,0.006535491,0.143070697,0.859923562,0.859923562,-0.016620032,-1649.513655,55885.26036,0.00125
199.16,0.0827144,0.77,0.385,23.1,0.0176744,0.006804644,0.149875341,0.853261329,0.853261329,-0.017304501,-1655.91582,56022.45626,0.00125
199.93,0.0834214,0.77,0.385,23.485,0.0183814,0.007076839,0.15695218,0.846332598,0.846332598,-0.017996704,-1662.317985,56160.29934,0.00125
200.7,0.084129,0.77,0.385,23.87,0.019089,0.007349265,0.164301445,0.839137142,0.839137142,-0.018689495,-1668.72015,56299.3117,0.00125
201.47,0.0848374,0.77,0.385,24.255,0.0197974,0.007621999,0.171923444,0.831674661,0.831674661,-0.01938307,-1675.122315,56439.30578,0.00125
202.24,0.085534,0.77,0.385,24.64,0.020494,0.00789019,0.179813634,0.823949601,0.823949601,-0.020065091,-1681.52448,56581.17002,0.00125
203.01,0.0862193,0.77,0.385,25.025,0.0211793,0.008154031,0.187967665,0.815966222,0.815966222,-0.020736048,-1687.926645,56724.64093,0.00125
203.78,0.0868843,0.77,0.385,25.41,0.0218443,0.008410056,0.19637772,0.807732177,0.807732177,-0.021387131,-1694.32881,56870.22676,0.00125
204.55,0.0875275,0.77,0.385,25.795,0.0224875,0.008657688,0.205035408,0.799255682,0.799255682,-0.02201687,-1700.730975,57017.81913,0.00125
205.32,0.0881534,0.77,0.385,26.18,0.0231134,0.008898659,0.213934067,0.790543259,0.790543259,-0.022629671,-1707.13314,57166.87789,0.00125
206.09,0.0887637,0.77,0.385,26.565,0.0237237,0.009133625,0.223067691,0.781600787,0.781600787,-0.023227198,-1713.535305,57317.11578,0.00125
206.86,0.0893518,0.77,0.385,26.95,0.0243118,0.009360043,0.232427734,0.772436636,0.772436636,-0.02380299,-1719.93747,57468.86405,0.00125
207.63,0.0899224,0.77,0.385,27.335,0.0248824,0.009579724,0.242007458,0.763057402,0.763057402,-0.024361648,-1726.339635,57621.64242,0.00125
208.4,0.0904631,0.77,0.385,27.72,0.0254231,0.009787894,0.251795352,0.753474355,0.753474355,-0.024891032,-1732.7418,57776.18497,0.00125
209.17,0.090972,0.77,0.385,28.105,0.025932,0.00998382,0.261779172,0.743699481,0.743699481,-0.025389281,-1739.143965,57932.47878,0.00125
209.94,0.0914539,0.77,0.385,28.49,0.0264139,0.010169352,0.271948523,0.733742959,0.733742959,-0.025861096,-1745.54613,58090.0737,0.00125
210.71,0.0919123,0.77,0.385,28.875,0.0268723,0.010345836,0.282294359,0.723613647,0.723613647,-0.026309902,-1751.948295,58248.63402,0.00125
211.48,0.0923433,0.77,0.385,29.26,0.0273033,0.010511771,0.292806129,0.713321872,0.713321872,-0.026731882,-1758.35046,58408.32646,0.00125
212.25,0.0927411,0.77,0.385,29.645,0.0277011,0.010664924,0.303471053,0.70288015,0.70288015,-0.027121357,-1764.752625,58569.44152,0.00125
213.02,0.0931078,0.77,0.385,30.03,0.0280678,0.010806103,0.314277156,0.692300203,0.692300203,-0.027480382,-1771.15479,58731.76473,0.00125
213.79,0.0934435,0.77,0.385,30.415,0.0284035,0.010935348,0.325212503,0.681593716,0.681593716,-0.027809057,-1777.556955,58895.22261,0.00125
214.56,0.0937524,0.77,0.385,30.8,0.0287124,0.011054274,0.336266777,0.670770792,0.670770792,-0.028111492,-1783.95912,59059.49239,0.00125
215.33,0.094012,0.77,0.385,31.185,0.028972,0.01115422,0.347420997,0.659850013,0.659850013,-0.028365659,-1790.361285,59225.93827,0.00125
216.1,0.094228,0.77,0.385,31.57,0.029188,0.01123738,0.358658377,0.648847815,0.648847815,-0.028577138,-1796.76345,59394.16724,0.00125
216.87,0.0944,0.77,0.385,31.955,0.02936,0.0113036,0.369961977,0.637780783,0.637780783,-0.028745538,-1803.165615,59564.18301,0.00125
217.64,0.0945276,0.77,0.385,32.34,0.0294876,0.011352726,0.381314703,0.626665652,0.626665652,-0.028870468,-1809.56778,59736.00418,0.00125
218.41,0.0946181,0.77,0.385,32.725,0.0295781,0.011387569,0.392702272,0.615516409,0.615516409,-0.028959074,-1815.969945,59909.18303,0.00125
219.18,0.094672,0.77,0.385,33.11,0.029632,0.01140832,0.404110592,0.604346848,0.604346848,-0.029011846,-1822.37211,60083.70008,0.00125
219.95,0.0946917,0.77,0.385,33.495,0.0296517,0.011415905,0.415526496,0.593169862,0.593169862,-0.029031134,-1828.774275,60259.42576,0.00125
220.72,0.0946724,0.77,0.385,33.88,0.0296324,0.011408474,0.42693497,0.58200015,0.58200015,-0.029012237,-1835.17644,60436.6897,0.00125
221.49,0.0946008,0.77,0.385,34.265,0.0295608,0.011380908,0.438315878,0.570857428,0.570857428,-0.028942136,-1841.578605,60616.38329,0.00125
222.26,0.0944882,0.77,0.385,34.65,0.0294482,0.011337557,0.449653435,0.55975715,0.55975715,-0.028831893,-1847.98077,60797.87819,0.00125
223.03,0.0943286,0.77,0.385,35.035,0.0292886,0.011276111,0.460929546,0.548717031,0.548717031,-0.028675633,-1854.382935,60981.64496,0.00125
223.8,0.0941246,0.77,0.385,35.42,0.0290846,0.011197571,0.472127117,0.537753809,0.537753809,-0.028475902,-1860.7851,61167.63266,0.00125
224.57,0.0938836,0.77,0.385,35.805,0.0288436,0.011104786,0.483231903,0.526881429,0.526881429,-0.028239946,-1867.187265,61355.4827,0.00125
225.34,0.0935969,0.77,0.385,36.19,0.0285569,0.010994407,0.49422631,0.51611712,0.51611712,-0.027959246,-1873.58943,61545.89886,0.00125
226.11,0.0932708,0.77,0.385,36.575,0.0282308,0.010868858,0.505095168,0.505475731,0.505475731,-0.027639971,-1879.991595,61738.62937,0.00125
226.88,0.0929069,0.77,0.385,36.96,0.0278669,0.010728757,0.515823924,0.494971511,0.494971511,-0.027283687,-1886.39376,61933.73556,0.00125
227.65,0.0925093,0.77,0.385,37.345,0.0274693,0.010575681,0.526399605,0.484617164,0.484617164,-0.026894408,-1892.795925,62131.1153,0.00125
228.42,0.0920874,0.77,0.385,37.73,0.0270474,0.010413249,0.536812854,0.474421849,0.474421849,-0.026481338,-1899.19809,62330.28135,0.00125
229.19,0.0916426,0.77,0.385,38.115,0.0266026,0.010242001,0.547054855,0.464394198,0.464394198,-0.026045847,-1905.600255,62531.28459,0.00125
229.96,0.0911765,0.77,0.385,38.5,0.0261365,0.010062553,0.557117407,0.45454224,0.45454224,-0.025589502,-1912.00242,62734.16626,0.00125
230.73,0.090696,0.77,0.385,38.885,0.025656,0.00987756,0.566994967,0.444871403,0.444871403,-0.025119058,-1918.404585,62938.56611,0.00125
231.5,0.0902078,0.77,0.385,39.27,0.0251678,0.009689603,0.57668457,0.435384589,0.435384589,-0.024641075,-1924.80675,63144.09616,0.00125
232.27,0.0897048,0.77,0.385,39.655,0.0246648,0.009495948,0.586180518,0.426087377,0.426087377,-0.024148602,-1931.208915,63351.42389,0.00125
233.04,0.0891952,0.77,0.385,40.04,0.0241552,0.009299752,0.59548027,0.416982256,0.416982256,-0.023649667,-1937.61108,63560.03916,0.00125
233.81,0.0886762,0.77,0.385,40.425,0.0236362,0.009099937,0.604580207,0.408072767,0.408072767,-0.023141529,-1944.013245,63770.28863,0.00125
