x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,4.039999999999999944e-05,4.462667462059876657e-05,4.462667462059876657e-05,4.500000401564417039e-05
3.850000000000000089e-01,1.145000000000000049e-04,1.630150260945951502e-04,1.630150260945951502e-04,1.634611082656525457e-04
7.700000000000000178e-01,2.089999999999999844e-04,2.854104592674797255e-04,2.854104592674797255e-04,2.859341140212839547e-04
1.155000000000000027e+00,3.237000000000000077e-04,4.119252352224707305e-04,4.119252352224707305e-04,4.125314981618581167e-04
1.540000000000000036e+00,4.591999999999999403e-04,5.426730408972983786e-04,5.426730408972983786e-04,5.433671711575717347e-04
1.925000000000000044e+00,6.158999999999999544e-04,6.777693893179608398e-04,6.777693893179608398e-04,6.785568740682813762e-04
2.310000000000000053e+00,7.876000000000000622e-04,8.173312084503967260e-04,8.173312084503967260e-04,8.182177684088980238e-04
2.694999999999999840e+00,9.740000000000000394e-04,9.614768057942352187e-04,9.614768057942352187e-04,9.624684004617967137e-04
3.080000000000000071e+00,1.173200000000000111e-03,1.110325738201851757e-03,1.110325738201851757e-03,1.111428570579428132e-03
3.464999999999999858e+00,1.387299999999999948e-03,1.263998687996815452e-03,1.263998687996815452e-03,1.265219209135156177e-03
3.850000000000000089e+00,1.614300000000000153e-03,1.422617318016026209e-03,1.422617318016026209e-03,1.423962231360854274e-03
4.235000000000000320e+00,1.853700000000000009e-03,1.586304078793192426e-03,1.586304078793192426e-03,1.587780343575933770e-03
4.620000000000000107e+00,2.105800000000000553e-03,1.755182030160345888e-03,1.755182030160345888e-03,1.756796865195306163e-03
5.004999999999999893e+00,2.368499999999999946e-03,1.929374717512778552e-03,1.929374717512778552e-03,1.931135603874153646e-03
5.389999999999999680e+00,2.643899999999999809e-03,2.109005884973398550e-03,2.109005884973398550e-03,2.110920568120578864e-03
5.775000000000000355e+00,2.930300000000000266e-03,2.294199258559439722e-03,2.294199258559439722e-03,2.296275749927247003e-03
6.160000000000000142e+00,3.223900000000000463e-03,2.485078295959655161e-03,2.485078295959655161e-03,2.487324873834568465e-03
