x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,4.039999999999999944e-05,5.552585781901639211e-04,5.552585781901639211e-04,5.597059110937791654e-04
3.850000000000000089e-01,1.145000000000000049e-04,6.457896317087850196e-04,6.457896317087850196e-04,6.502542357238351575e-04
7.700000000000000178e-01,2.089999999999999844e-04,7.396857642156698213e-04,7.396857642156698213e-04,7.441660920721340864e-04
1.155000000000000027e+00,3.237000000000000077e-04,8.370759376376433678e-04,8.370759376376433678e-04,8.415703793359790045e-04
1.540000000000000036e+00,4.591999999999999403e-04,9.380930030496047092e-04,9.380930030496047092e-04,9.425998844340762340e-04
1.925000000000000044e+00,6.158999999999999544e-04,1.042874440998748861e-03,1.042874440998748861e-03,1.047392022596054873e-03
2.310000000000000053e+00,7.876000000000000622e-04,1.151561982238526790e-03,1.151561982238526790e-03,1.156088458025548039e-03
2.694999999999999840e+00,9.740000000000000394e-04,1.264301778905710339e-03,1.264301778905710339e-03,1.268835275112924904e-03
3.080000000000000071e+00,1.173200000000000111e-03,1.381244383594026990e-03,1.381244383594026990e-03,1.385782957508123903e-03
3.464999999999999858e+00,1.387299999999999948e-03,1.502544767221922683e-03,1.502544767221922683e-03,1.507086406030308046e-03
3.850000000000000089e+00,1.614300000000000153e-03,1.628362315041909612e-03,1.628362315041909612e-03,1.632904934712163265e-03
4.235000000000000320e+00,1.853700000000000009e-03,1.758860810795189996e-03,1.758860810795189996e-03,1.763402254966928715e-03
4.620000000000000107e+00,2.105800000000000553e-03,1.894208350711356964e-03,1.894208350711356964e-03,1.898746389665589276e-03
5.004999999999999893e+00,2.368499999999999946e-03,2.034577299031001436e-03,2.034577299031001436e-03,2.039109628664135827e-03
5.389999999999999680e+00,2.643899999999999809e-03,2.180144250307290265e-03,2.180144250307290265e-03,2.184668491160559559e-03
5.775000000000000355e+00,2.930300000000000266e-03,2.331089870791292536e-03,2.331089870791292536e-03,2.335603567154381950e-03
6.160000000000000142e+00,3.223900000000000463e-03,2.487598734562180332e-03,2.487598734562180332e-03,2.492099353650265112e-03
6.544999999999999929e+00,3.521099999999999664e-03,2.649859178797090483e-03,2.649859178797090483e-03,2.654344109965607688e-03
6.929999999999999716e+00,3.817399999999999873e-03,2.818063107664495800e-03,2.818063107664495800e-03,2.822529661735702963e-03
7.315000000000000391e+00,4.102699999999999923e-03,2.992405697024179325e-03,2.992405697024179325e-03,2.996851105685983865e-03
