x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,4.039999999999999944e-05,1.045073535659391505e-03,1.045073535659391505e-03,1.055819675099051256e-03
3.850000000000000089e-01,1.145000000000000049e-04,1.127350246382880731e-03,1.127350246382880731e-03,1.138299599951429417e-03
7.700000000000000178e-01,2.089999999999999844e-04,1.212168178286365285e-03,1.212168178286365285e-03,1.223324040050127737e-03
1.155000000000000027e+00,3.237000000000000077e-04,1.299617044566402525e-03,1.299617044566402525e-03,1.310982729702314664e-03
1.540000000000000036e+00,4.591999999999999403e-04,1.389791984751805303e-03,1.389791984751805303e-03,1.401370828188722769e-03
1.925000000000000044e+00,6.158999999999999544e-04,1.482790670292581311e-03,1.482790670292581311e-03,1.494586017577084758e-03
2.310000000000000053e+00,7.876000000000000622e-04,1.578715277848917117e-03,1.578715277848917117e-03,1.590730481529559551e-03
2.694999999999999840e+00,9.740000000000000394e-04,1.677672537778258401e-03,1.677672537778258401e-03,1.689910950204145165e-03
3.080000000000000071e+00,1.173200000000000111e-03,1.779773767064226058e-03,1.779773767064226058e-03,1.792238734140712015e-03
3.464999999999999858e+00,1.387299999999999948e-03,1.885135196653669500e-03,1.885135196653669500e-03,1.897830048579511163e-03
3.850000000000000089e+00,1.614300000000000153e-03,1.993878260361746195e-03,1.993878260361746195e-03,2.006806303029805543e-03
4.235000000000000320e+00,1.853700000000000009e-03,2.106129712077130754e-03,2.106129712077130754e-03,2.119294216296107192e-03
4.620000000000000107e+00,2.105800000000000553e-03,2.222021975005809835e-03,2.222021975005809835e-03,2.235426164643465954e-03
5.004999999999999893e+00,2.368499999999999946e-03,2.341693394293306064e-03,2.341693394293306064e-03,2.355340433006105835e-03
5.389999999999999680e+00,2.643899999999999809e-03,2.465288619460161493e-03,2.465288619460161493e-03,2.479181595965235935e-03
5.775000000000000355e+00,2.930300000000000266e-03,2.592958769287288627e-03,2.592958769287288627e-03,2.607100680244874534e-03
6.160000000000000142e+00,3.223900000000000463e-03,2.724861734727675698e-03,2.724861734727675698e-03,2.739255465969359787e-03
6.544999999999999929e+00,3.521099999999999664e-03,2.861162530488248375e-03,2.861162530488248375e-03,2.875810835898313586e-03
6.929999999999999716e+00,3.817399999999999873e-03,3.002033906194368981e-03,3.002033906194368981e-03,3.016939383875595973e-03
7.315000000000000391e+00,4.102699999999999923e-03,3.147656320488079196e-03,3.147656320488079196e-03,3.162821387011495455e-03
7.700000000000000178e+00,4.369800000000000073e-03,3.298218460657970433e-03,3.298218460657970433e-03,3.313645320649673091e-03
8.085000000000000853e+00,4.609799999999999835e-03,3.453917908392689987e-03,3.453917908392689987e-03,3.469608522240561453e-03
8.470000000000000639e+00,4.822399999999999257e-03,3.614960945464920292e-03,3.614960945464920292e-03,3.630916993017807397e-03
8.855000000000000426e+00,5.006800000000000486e-03,3.781563490803697969e-03,3.781563490803697969e-03,3.797786328950095505e-03
9.240000000000000213e+00,5.167499999999999351e-03,3.953951401000129623e-03,3.953951401000129623e-03,3.970442019565519585e-03
9.625000000000000000e+00,5.305300000000000640e-03,4.132360654531220742e-03,4.132360654531220742e-03,4.149119625026018512e-03
1.000999999999999979e+01,5.423199999999999549e-03,4.317037944153385813e-03,4.317037944153385813e-03,4.334065362711705081e-03
1.039499999999999957e+01,5.526500000000000162e-03,4.508241251935760086e-03,4.508241251935760086e-03,4.525536675980878186e-03
1.077999999999999936e+01,5.620499999999999628e-03,4.706240200964172810e-03,4.706240200964172810e-03,4.723802579808839865e-03
1.116499999999999915e+01,5.708399999999999759e-03,4.911316535005570000e-03,4.911316535005570000e-03,4.929144131909179646e-03
1.155000000000000071e+01,5.790199999999999687e-03,5.123764417901969376e-03,5.123764417901969376e-03,5.141854727286089381e-03
1.193500000000000050e+01,5.869499999999999718e-03,5.343890780825315441e-03,5.343890780825315441e-03,5.362240428124793318e-03
1.232000000000000028e+01,5.949100000000000568e-03,5.572015898709689607e-03,5.572015898709689607e-03,5.590620536901632666e-03
1.270500000000000007e+01,6.030300000000000590e-03,5.808473663246298789e-03,5.808473663246298789e-03,5.827327855469127162e-03
1.308999999999999986e+01,6.122299999999999791e-03,6.053612020546908674e-03,6.053612020546908674e-03,6.072709107515026315e-03
1.347499999999999964e+01,6.218500000000000069e-03,6.307793110001341276e-03,6.307793110001341276e-03,6.327125069579946255e-03
