Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,0.0,300.0,100.0,9.999999999999998e-21,1.0,1.2132054866512297e-22,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,1.0,300.0,102.0,9.999999999999998e-21,1.0,5.689561878773312e-22,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,2.0,300.0,104.0,9.999999999999998e-21,1.0,2.563785406292607e-21,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,3.0,300.0,106.0,9.999999999999998e-21,1.0,1.0966061221923054e-20,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,4.0,300.0,108.0,9.999999999999998e-21,1.0,4.452118479391074e-20,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,5.0,300.0,110.0,9.999999999999998e-21,1.0,1.7194571630401413e-19,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,6.0,300.0,112.0,9.999999999999998e-21,1.0,6.333174961196155e-19,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,7.0,300.0,114.0,9.999999999999998e-21,1.0,2.230086383027597e-18,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,8.0,300.0,116.0,9.999999999999998e-21,1.0,7.52477351395342e-18,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,9.0,300.0,118.0,9.999999999999998e-21,1.0,2.438219496567913e-17,0.25000000000000006,0.25000000000000006,0.5000000000000001
0.0,10.0,300.0,120.0,9.999999999999998e-21,1.0,7.602109219249944e-17,0.25000000000000006,0.24999999999999994,0.5000000000000001
0.0,11.0,300.0,122.0,9.999999999999998e-21,1.0,2.2850438262472154e-16,0.25000000000000006,0.24999999999999978,0.5000000000000001
0.0,12.0,300.0,124.0,9.999999999999998e-21,1.0,6.63313205380989e-16,0.25000000000000006,0.24999999999999933,0.5000000000000001
0.0,13.0,300.0,126.0,9.999999999999998e-21,1.0,1.862612506322428e-15,0.24999999999999997,0.24999999999999806,0.49999999999999994
0.0,14.0,300.0,128.0,9.999999999999998e-21,1.0,5.067310804425371e-15,0.25,0.24999999999999495,0.5
0.0,15.0,300.0,130.0,9.999999999999998e-21,1.0,1.3375618618665341e-14,0.25000000000000006,0.24999999999998668,0.5000000000000001
0.0,16.0,300.0,132.0,9.999999999999998e-21,1.0,3.430232460847488e-14,0.25,0.24999999999996572,0.5
0.0,17.0,300.0,134.0,9.999999999999998e-21,1.0,8.557823703506712e-14,0.25,0.24999999999991446,0.5
0.0,18.0,300.0,136.0,9.999999999999998e-21,1.0,2.079492328982062e-13,0.25,0.24999999999979208,0.5
0.0,19.0,300.0,138.0,9.999999999999998e-21,1.0,4.927189990658128e-13,0.24999999999999997,0.24999999999950737,0.49999999999999994
0.0,20.0,300.0,140.0,9.999999999999998e-21,1.0,1.139606594580092e-12,0.25,0.24999999999886044,0.5
0.0,21.0,300.0,142.0,9.999999999999998e-21,1.0,2.5755131029187322e-12,0.25,0.24999999999742453,0.5
0.0,22.0,300.0,144.0,9.999999999999998e-21,1.0,5.6929963909941426e-12,0.24999999999999997,0.24999999999430705,0.49999999999999994
0.0,23.0,300.0,146.0,9.999999999999998e-21,1.0,1.2319097370496204e-11,0.24999999999999997,0.249999999987681,0.49999999999999994
0.0,24.0,300.0,148.0,9.999999999999998e-21,1.0,2.611855001013397e-11,0.24999999999999997,0.24999999997388153,0.49999999999999994
0.0,25.0,300.0,150.0,9.999999999999998e-21,1.0,5.430040454089195e-11,0.24999999999999997,0.2499999999456997,0.49999999999999994
0.0,26.0,300.0,152.0,9.999999999999998e-21,1.0,1.1078324751093386e-10,0.24999999999999997,0.2499999998892169,0.49999999999999994
