dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,4.236907196021202079e-31,4.236907196021202079e-31,3.661332442051756976e-44,-4.236907196021568168e-31,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.076596357721538205e-30,2.076596357721538205e-30,1.723863243452787171e-43,-2.076596357721710565e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,9.574257502932627837e-30,9.574257502932627837e-30,7.316404564367935498e-43,-9.574257502933359315e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.166878488358141383e-29,4.166878488358141383e-29,2.531441408726362837e-42,-4.166878488358394177e-29,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.717357853353093371e-28,1.717357853353093371e-28,4.994991748946089174e-42,-1.717357853353143369e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,6.722724461399026063e-28,6.722724461399026063e-28,-1.951744060136061841e-41,-6.722724461398830553e-28,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.506470045158228931e-27,2.506470045158228931e-27,-3.251024360570545186e-40,-2.506470045157903920e-27,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.923320472743555520e-27,8.923320472743555520e-27,-2.654222250872189504e-39,-8.923320472740900901e-27,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,3.040706225908979049e-26,3.040706225908979049e-26,-1.730086891982358811e-38,-3.040706225907249098e-26,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,9.939701730168444833e-26,9.939701730168444833e-26,-9.923930365651333945e-38,-9.939701730158520860e-26,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,3.123385657197342139e-25,3.123385657197342139e-25,-5.198417626195473728e-37,-3.123385657192143791e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,9.453105792341205323e-25,9.453105792341205323e-25,-2.532757945676372556e-36,-9.453105792315877093e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,2.760634708711098956e-24,2.760634708711098956e-24,-1.160031357961700226e-35,-2.760634708699498663e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.792336051476944621e-24,7.792336051476944621e-24,-5.029186061863132277e-35,-7.792336051426652564e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.129331691960194738e-23,2.129331691960194738e-23,-2.073968534879847698e-34,-2.129331691939455198e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,5.641386638553364406e-23,5.641386638553364406e-23,-8.165772416357072529e-34,-5.641386638471706340e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.451128633900616483e-22,1.451128633900616483e-22,-3.078783897873073285e-33,-1.451128633869828640e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,3.628921705576906035e-22,3.628921705576906035e-22,-1.114383101873818688e-32,-3.628921705465467760e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,8.833672499692161719e-22,8.833672499692161719e-22,-3.880647612269624561e-32,-8.833672499304096239e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,2.095588672540382124e-21,2.095588672540382124e-21,-1.302636408048899620e-31,-2.095588672410118542e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,4.850112335059897563e-21,4.850112335059897563e-21,-4.222266545555828590e-31,-4.850112334637670525e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,1.096305203000827593e-20,1.096305203000827593e-20,-1.323614503205331169e-30,-1.096305202868466101e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,2.422550441619959791e-20,2.422550441619959791e-20,-4.018909082997899444e-30,-2.422550441218069069e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,5.238177034919892806e-20,5.238177034919892806e-20,-1.183527819790173072e-29,-5.238177033736364920e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,1.109266675200008091e-19,1.109266675200008091e-19,-3.384750481352054730e-29,-1.109266674861533126e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.302513960200293197e-19,2.302513960200293197e-19,-9.411806548002396608e-29,-2.302513959259112419e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,4.688372352883832154e-19,4.688372352883832154e-19,-2.547459240826202869e-28,-4.688372350336372839e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,9.371748521600911895e-19,9.371748521600911895e-19,-6.718797986836309231e-28,-9.371748514882114617e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,1.840375205584484802e-18,1.840375205584484802e-18,-1.728474405703054098e-27,-1.840375203856010440e-18,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,3.552812011359469535e-18,3.552812011359469535e-18,-4.341452842310494913e-27,-3.552812007018016684e-18,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,6.746778257956695700e-18,6.746778257956695700e-18,-1.065614836041598869e-26,-6.746778247300547659e-18,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,1.261082513535632640e-17,1.261082513535632640e-17,-2.558178243727634210e-26,-1.261082510977454408e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,2.321480456202887488e-17,2.321480456202887488e-17,-6.011467192746125828e-26,-2.321480450191420106e-17,0.000000000000000000e+00
