dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,5.147319233530009538e-30,5.147319233530009538e-30,-2.573659616765005119e-30,-2.573659616765005119e-30,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.435126085038773129e-29,2.435126085038773129e-29,-1.217563042519386424e-29,-1.217563042519386424e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.085181940804571689e-28,1.085181940804571689e-28,-5.425909704022858445e-29,-5.425909704022858445e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.570816744456185812e-28,4.570816744456185812e-28,-2.285408372228093354e-28,-2.285408372228093354e-28,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.825390373819365031e-27,1.825390373819365031e-27,-9.126951869096825153e-28,-9.126951869096825153e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,6.931863387414237962e-27,6.931863387414237962e-27,-3.465931693707118264e-27,-3.465931693707118264e-27,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.509851413251746905e-26,2.509851413251746905e-26,-1.254925706625873453e-26,-1.254925706625873453e-26,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.686385108173048946e-26,8.686385108173048946e-26,-4.343192554086525047e-26,-4.343192554086525047e-26,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,2.880297534561860922e-25,2.880297534561860922e-25,-1.440148767280930461e-25,-1.440148767280930461e-25,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,9.170398882893927476e-25,9.170398882893927476e-25,-4.585199441446963738e-25,-4.585199441446963738e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,2.809144446179439490e-24,2.809144446179439490e-24,-1.404572223089719745e-24,-1.404572223089719745e-24,0.000000000000000000e+00
