dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,5.147344658325283301e-30,5.147344658325283301e-30,-2.573672329162642001e-30,-2.573672329162642001e-30,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.435137877314413870e-29,2.435137877314413870e-29,-1.217568938657206795e-29,-1.217568938657206795e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.085187094817909888e-28,1.085187094817909888e-28,-5.425935474089549439e-29,-5.425935474089549439e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.570838043702961265e-28,4.570838043702961265e-28,-2.285419021851481081e-28,-2.285419021851481081e-28,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.825398722316130254e-27,1.825398722316130254e-27,-9.126993611580651269e-28,-9.126993611580651269e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,6.931894514149626058e-27,6.931894514149626058e-27,-3.465947257074812311e-27,-3.465947257074812311e-27,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.509862482196871710e-26,2.509862482196871710e-26,-1.254931241098435855e-26,-1.254931241098435855e-26,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.686422744779423486e-26,8.686422744779423486e-26,-4.343211372389712317e-26,-4.343211372389712317e-26,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,2.880309799223649237e-25,2.880309799223649237e-25,-1.440154899611824618e-25,-1.440154899611824618e-25,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,9.170437269738790891e-25,9.170437269738790891e-25,-4.585218634869395446e-25,-4.585218634869395446e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,2.809156009139024651e-24,2.809156009139024651e-24,-1.404578004569512326e-24,-1.404578004569512326e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,8.295090999512879961e-24,8.295090999512879961e-24,-4.147545499756439981e-24,-4.147545499756439981e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,2.365359995794106180e-23,2.365359995794106180e-23,-1.182679997897053237e-23,-1.182679997897053237e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,6.524188197121455734e-23,6.524188197121455734e-23,-3.262094098560727867e-23,-3.262094098560727867e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.743355874168000231e-22,1.743355874168000231e-22,-8.716779370840001153e-23,-8.716779370840001153e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,4.519719450946561814e-22,4.519719450946561814e-22,-2.259859725473280907e-22,-2.259859725473280907e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.138412805845643109e-21,1.138412805845643109e-21,-5.692064029228214603e-22,-5.692064029228214603e-22,0.000000000000000000e+00
