dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,4.236907196172636025e-31,4.236907196172636025e-31,-1.510682102290533784e-41,-4.236907196021568168e-31,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.076596357840483222e-30,2.076596357840483222e-30,-1.187729185374547709e-40,-2.076596357721710565e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,9.574257503795684759e-30,9.574257503795684759e-30,-8.623252256739174228e-40,-9.574257502933359315e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.166878488939239117e-29,4.166878488939239117e-29,-5.808447590361364410e-39,-4.166878488358394177e-29,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.717357853717663699e-28,1.717357853717663699e-28,-3.645203131856862449e-38,-1.717357853353143369e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,6.722724463538506137e-28,6.722724463538506137e-28,-2.139675163485657228e-37,-6.722724461398830553e-28,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.506470046336875823e-27,2.506470046336875823e-27,-1.178972149388804553e-36,-2.506470045157903920e-27,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.923320478859341822e-27,8.923320478859341822e-27,-6.118441138196495645e-36,-8.923320472740900901e-27,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,3.040706228907166930e-26,3.040706228907166930e-26,-2.999917599140696716e-35,-3.040706225907249098e-26,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,9.939701744095418360e-26,9.939701744095418360e-26,-1.393689796656204655e-34,-9.939701730158520860e-26,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,3.123385663343678839e-25,3.123385663343678839e-25,-6.151535028479645047e-34,-3.123385657192143791e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,9.453105818177537087e-25,9.453105818177537087e-25,-2.586165937002996080e-33,-9.453105792315877093e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,2.760634719079769854e-24,2.760634719079769854e-24,-1.038027127834755340e-32,-2.760634708699498663e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.792336091292328305e-24,7.792336091292328305e-24,-3.986567564114038662e-32,-7.792336051426652564e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.129331706619462114e-23,2.129331706619462114e-23,-1.468000710296921139e-31,-2.129331691939455198e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,5.641386690403498633e-23,5.641386690403498633e-23,-5.193179207268511438e-31,-5.641386638471706340e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.451128651551050663e-22,1.451128651551050663e-22,-1.768122206764191535e-30,-1.451128633869828640e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,3.628921763502855059e-22,3.628921763502855059e-22,-5.803738749648136255e-30,-3.628921705465467760e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,8.833672683263028247e-22,8.833672683263028247e-22,-1.839589314531656042e-29,-8.833672499304096239e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,2.095588728801344305e-21,2.095588728801344305e-21,-5.639122580239611061e-29,-2.095588672410118542e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,4.850112502055715966e-21,4.850112502055715966e-21,-1.674180457423319962e-28,-4.850112334637670525e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,1.096305251072173218e-20,1.096305251072173218e-20,-4.820370714525669805e-28,-1.096305202868466101e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,2.422550575990409230e-20,2.422550575990409230e-20,-1.347723402541579713e-27,-2.422550441218069069e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,5.238177400079094944e-20,5.238177400079094944e-20,-3.663427302545834356e-27,-5.238177033736364920e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,1.109266771786761972e-19,1.109266771786761972e-19,-9.692522880265570355e-27,-1.109266674861533126e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.302514209131379519e-19,2.302514209131379519e-19,-2.498722668757773084e-26,-2.302513959259112419e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,4.688372978649371669e-19,4.688372978649371669e-19,-6.283129992360832328e-26,-4.688372350336372839e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,9.371750057408108067e-19,9.371750057408108067e-19,-1.542525996576200670e-25,-9.371748514882112691e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,1.840375573929064496e-18,1.840375573929064496e-18,-3.700730536346729542e-25,-1.840375203856010826e-18,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,3.552812875419923364e-18,3.552812875419923364e-18,-8.684019056446346484e-25,-3.552812007018018225e-18,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,6.746780242072354085e-18,6.746780242072354085e-18,-1.994771804324612121e-24,-6.746778247300549970e-18,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,1.261082959875609869e-17,1.261082959875609869e-17,-4.488981552645063384e-24,-1.261082510977454716e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,2.321481440591878498e-17,2.321481440591878498e-17,-9.904004580281596901e-24,-2.321480450191420414e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,4.211150061920920277e-17,4.211150061920920277e-17,-2.143842112870198918e-23,-4.211147918078807224e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,7.531443725593963683e-17,7.531443725593963683e-17,-4.556060367263611791e-23,-7.531439169533596311e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,1.328663821328716910e-16,1.328663821328716910e-16,-9.512237469009574952e-23,-1.328662870104969978e-16,0.000000000000000000e+00
