dist(m), time(s),Acetaldehyde
0.000000000000000000e+00,0.000000000000000000e+00,1.450294599798779333e-37
0.000000000000000000e+00,1.000000000000000000e+00,9.816981412790509140e-27
0.000000000000000000e+00,2.000000000000000000e+00,3.950419160326357744e-26
0.000000000000000000e+00,3.000000000000000000e+00,1.508310777245265443e-25
0.000000000000000000e+00,4.000000000000000000e+00,5.480101170201727368e-25
0.000000000000000000e+00,5.000000000000000000e+00,1.899817373566218260e-24
0.000000000000000000e+00,6.000000000000000000e+00,6.300168418982085386e-24
0.000000000000000000e+00,7.000000000000000000e+00,2.003200329462898370e-23
0.000000000000000000e+00,8.000000000000000000e+00,6.120310088214755834e-23
0.000000000000000000e+00,9.000000000000000000e+00,1.800446120802824781e-22
0.000000000000000000e+00,1.000000000000000000e+01,5.109361239180212092e-22
0.000000000000000000e+00,1.100000000000000000e+01,1.401203046412796728e-21
0.000000000000000000e+00,1.200000000000000000e+01,3.719650770787212519e-21
0.000000000000000000e+00,1.300000000000000000e+01,9.572886477902926995e-21
0.000000000000000000e+00,1.400000000000000000e+01,2.391961870603075555e-20
0.000000000000000000e+00,1.500000000000000000e+01,5.810698262171313584e-20
0.000000000000000000e+00,1.600000000000000000e+01,1.374109566113819255e-19
0.000000000000000000e+00,1.700000000000000000e+01,3.167060800144539017e-19
0.000000000000000000e+00,1.800000000000000000e+01,7.122389206426353651e-19
0.000000000000000000e+00,1.900000000000000000e+01,1.564562780585307898e-18
0.000000000000000000e+00,2.000000000000000000e+01,3.360435056740848327e-18
0.000000000000000000e+00,2.100000000000000000e+01,7.063921012637593664e-18
0.000000000000000000e+00,2.200000000000000000e+01,1.454566733959982517e-17
0.000000000000000000e+00,2.300000000000000000e+01,2.936481552729019666e-17
0.000000000000000000e+00,2.400000000000000000e+01,5.816679321807586371e-17
0.000000000000000000e+00,2.500000000000000000e+01,1.131376122547812676e-16
0.000000000000000000e+00,2.600000000000000000e+01,2.162396839250271300e-16
0.000000000000000000e+00,2.700000000000000000e+01,4.064026257267965120e-16
0.000000000000000000e+00,2.800000000000000000e+01,7.515386804794419706e-16
0.000000000000000000e+00,2.900000000000000000e+01,1.368316747800379606e-15
0.000000000000000000e+00,3.000000000000000000e+01,2.454232900761938971e-15
0.000000000000000000e+00,3.100000000000000000e+01,4.338898425705762147e-15
0.000000000000000000e+00,3.200000000000000000e+01,7.564959867614321909e-15
0.000000000000000000e+00,3.300000000000000000e+01,1.301411956641863403e-14
0.000000000000000000e+00,3.400000000000000000e+01,2.210094304643165790e-14
0.000000000000000000e+00,3.500000000000000000e+01,3.706731615158309129e-14
0.000000000000000000e+00,3.600000000000000000e+01,6.142457579407787117e-14
0.000000000000000000e+00,3.700000000000000000e+01,1.006097718401489906e-13
0.000000000000000000e+00,3.800000000000000000e+01,1.629487769222850983e-13
0.000000000000000000e+00,3.900000000000000000e+01,2.610537914447638059e-13
0.000000000000000000e+00,4.000000000000000000e+01,4.138278923797113083e-13
0.000000000000000000e+00,4.100000000000000000e+01,6.493057125913728987e-13
0.000000000000000000e+00,4.200000000000000000e+01,1.008626260083338302e-12
0.000000000000000000e+00,4.300000000000000000e+01,1.551505907043965130e-12
0.000000000000000000e+00,4.400000000000000000e+01,2.363641728271266274e-12
0.000000000000000000e+00,4.500000000000000000e+01,3.566493882955375511e-12
0.000000000000000000e+00,4.600000000000000000e+01,5.329802310651217697e-12
0.000000000000000000e+00,4.700000000000000000e+01,7.886860488317253293e-12
0.000000000000000000e+00,4.800000000000000000e+01,1.155178012803470186e-11
0.000000000000000000e+00,4.900000000000000000e+01,1.673640504183124182e-11
0.000000000000000000e+00,5.000000000000000000e+01,2.396176049938215643e-11
0.000000000000000000e+00,5.100000000000000000e+01,3.385467647418610969e-11
0.000000000000000000e+00,5.200000000000000000e+01,4.711493938073952679e-11
0.000000000000000000e+00,5.300000000000000000e+01,6.443432944895417939e-11
0.000000000000000000e+00,5.400000000000000000e+01,8.635183323584248824e-11
0.000000000000000000e+00,5.500000000000000000e+01,1.130480281128609353e-10
0.000000000000000000e+00,5.600000000000000000e+01,1.441221682499082979e-10
0.000000000000000000e+00,5.700000000000000000e+01,1.784472231495200766e-10
0.000000000000000000e+00,5.800000000000000000e+01,2.142202193678616569e-10
0.000000000000000000e+00,5.900000000000000000e+01,2.492664614733639298e-10
0.000000000000000000e+00,6.000000000000000000e+01,2.815166403854003011e-10
0.000000000000000000e+00,6.100000000000000000e+01,3.094538775748653327e-10
0.000000000000000000e+00,6.200000000000000000e+01,3.323381530413320693e-10
0.000000000000000000e+00,6.300000000000000000e+01,3.501590961297075592e-10
0.000000000000000000e+00,6.400000000000000000e+01,3.634127148245664034e-10
0.000000000000000000e+00,6.500000000000000000e+01,3.728406248896290008e-10
0.000000000000000000e+00,6.600000000000000000e+01,3.792292391928727975e-10
0.000000000000000000e+00,6.700000000000000000e+01,3.832915160597378447e-10
0.000000000000000000e+00,6.800000000000000000e+01,3.856167347910130680e-10
0.000000000000000000e+00,6.900000000000000000e+01,3.866680986255310349e-10
0.000000000000000000e+00,7.000000000000000000e+01,3.867946023762214109e-10
0.000000000000000000e+00,7.100000000000000000e+01,3.862534902565297193e-10
0.000000000000000000e+00,7.200000000000000000e+01,3.852312899750455947e-10
0.000000000000000000e+00,7.300000000000000000e+01,3.838638044821651349e-10
0.000000000000000000e+00,7.400000000000000000e+01,3.822471517865846189e-10
0.000000000000000000e+00,7.500000000000000000e+01,3.804498442962725231e-10
0.000000000000000000e+00,7.600000000000000000e+01,3.785206193768155402e-10
0.000000000000000000e+00,7.700000000000000000e+01,3.764941031066060618e-10
0.000000000000000000e+00,7.800000000000000000e+01,3.743948678752293993e-10
0.000000000000000000e+00,7.900000000000000000e+01,3.722403194061278790e-10
0.000000000000000000e+00,8.000000000000000000e+01,3.700427470843278178e-10
0.000000000000000000e+00,8.100000000000000000e+01,3.678107779216539155e-10
0.000000000000000000e+00,8.200000000000000000e+01,3.655504076970179298e-10
0.000000000000000000e+00,8.300000000000000000e+01,3.632657328479334574e-10
0.000000000000000000e+00,8.400000000000000000e+01,3.609594706157467123e-10
0.000000000000000000e+00,8.500000000000000000e+01,3.586333292220574973e-10
0.000000000000000000e+00,8.600000000000000000e+01,3.562882716441593623e-10
0.000000000000000000e+00,8.700000000000000000e+01,3.539247037189102038e-10
0.000000000000000000e+00,8.800000000000000000e+01,3.515426082707546337e-10
0.000000000000000000e+00,8.900000000000000000e+01,3.491416406045797559e-10
0.000000000000000000e+00,9.000000000000000000e+01,3.467211945724010452e-10
0.000000000000000000e+00,9.100000000000000000e+01,3.442804494314584090e-10
0.000000000000000000e+00,9.200000000000000000e+01,3.418184122266649133e-10
0.000000000000000000e+00,9.300000000000000000e+01,3.393339325401573420e-10
0.000000000000000000e+00,9.400000000000000000e+01,2.460165419555273336e-10
0.000000000000000000e+00,9.500000000000000000e+01,2.014677211531356878e-10
0.000000000000000000e+00,9.600000000000000000e+01,1.780936662749239574e-10
0.000000000000000000e+00,9.700000000000000000e+01,1.638699365703925636e-10
0.000000000000000000e+00,9.800000000000000000e+01,1.544893224816923033e-10
0.000000000000000000e+00,9.900000000000000000e+01,1.479803042166144948e-10
0.000000000000000000e+00,1.000000000000000000e+02,1.433022579888804018e-10
0.000000000000000000e+00,1.010000000000000000e+02,1.398513299814846662e-10
0.000000000000000000e+00,1.020000000000000000e+02,1.372526832508224314e-10
0.000000000000000000e+00,1.030000000000000000e+02,1.352617387531614040e-10
0.000000000000000000e+00,1.040000000000000000e+02,1.337127405484174645e-10
0.000000000000000000e+00,1.050000000000000000e+02,1.324900063398778796e-10
0.000000000000000000e+00,1.060000000000000000e+02,1.315109207311778574e-10
0.000000000000000000e+00,1.070000000000000000e+02,1.307153966993855703e-10
0.000000000000000000e+00,1.080000000000000000e+02,1.300590886794022416e-10
0.000000000000000000e+00,1.090000000000000000e+02,1.295088787488955534e-10
0.000000000000000000e+00,1.100000000000000000e+02,1.290397925689788571e-10
0.000000000000000000e+00,1.110000000000000000e+02,1.286328440810437828e-10
0.000000000000000000e+00,1.120000000000000000e+02,1.282735005346913229e-10
0.000000000000000000e+00,1.130000000000000000e+02,1.279505718989001265e-10
0.000000000000000000e+00,1.140000000000000000e+02,1.276553966442106198e-10
0.000000000000000000e+00,1.150000000000000000e+02,1.273812381746450801e-10
0.000000000000000000e+00,1.160000000000000000e+02,1.271228332443758780e-10
0.000000000000000000e+00,1.170000000000000000e+02,1.268760514374077383e-10
0.000000000000000000e+00,1.180000000000000000e+02,1.266376366874672937e-10
0.000000000000000000e+00,1.190000000000000000e+02,1.264050099562969540e-10
0.000000000000000000e+00,1.200000000000000000e+02,1.261761178589788813e-10
0.000000000000000000e+00,1.210000000000000000e+02,1.259493160371750037e-10
0.000000000000000000e+00,1.220000000000000000e+02,1.257232789598665078e-10
0.000000000000000000e+00,1.230000000000000000e+02,1.254969299214404646e-10
0.000000000000000000e+00,1.240000000000000000e+02,1.252693865408638488e-10
0.000000000000000000e+00,1.250000000000000000e+02,1.250399182013419196e-10
0.000000000000000000e+00,1.260000000000000000e+02,1.248079127173632257e-10
0.000000000000000000e+00,1.270000000000000000e+02,1.245728501527071246e-10
0.000000000000000000e+00,1.280000000000000000e+02,1.243342821940416586e-10
0.000000000000000000e+00,1.290000000000000000e+02,1.240918158501947439e-10
0.000000000000000000e+00,1.300000000000000000e+02,1.238451005257838172e-10
0.000000000000000000e+00,1.310000000000000000e+02,1.235938177314299682e-10
0.000000000000000000e+00,1.320000000000000000e+02,1.233376728566978396e-10
0.000000000000000000e+00,1.330000000000000000e+02,1.230763885583477007e-10
0.000000000000000000e+00,1.340000000000000000e+02,1.228096994141702644e-10
0.000000000000000000e+00,1.350000000000000000e+02,1.225373475683450433e-10
0.000000000000000000e+00,1.360000000000000000e+02,1.222590791530259232e-10
0.000000000000000000e+00,1.370000000000000000e+02,1.219746413165694686e-10
0.000000000000000000e+00,1.380000000000000000e+02,1.216837797244409844e-10
0.000000000000000000e+00,1.390000000000000000e+02,1.213862364266330370e-10
0.000000000000000000e+00,1.400000000000000000e+02,1.210817480071362531e-10
0.000000000000000000e+00,1.410000000000000000e+02,1.207700439480029740e-10
0.000000000000000000e+00,1.420000000000000000e+02,1.204508451538136644e-10
0.000000000000000000e+00,1.430000000000000000e+02,1.201238625927503514e-10
0.000000000000000000e+00,1.440000000000000000e+02,1.197887960186222755e-10
0.000000000000000000e+00,1.450000000000000000e+02,1.194453327444865963e-10
0.000000000000000000e+00,1.460000000000000000e+02,1.190931464434696398e-10
0.000000000000000000e+00,1.470000000000000000e+02,1.187318959561723998e-10
0.000000000000000000e+00,1.480000000000000000e+02,1.183612240870111814e-10
0.000000000000000000e+00,1.490000000000000000e+02,1.179807563740082530e-10
0.000000000000000000e+00,1.500000000000000000e+02,1.175900998182238397e-10
0.000000000000000000e+00,1.510000000000000000e+02,1.171888415602111535e-10
0.000000000000000000e+00,1.520000000000000000e+02,1.167765474916744112e-10
0.000000000000000000e+00,1.530000000000000000e+02,1.163527607910035788e-10
0.000000000000000000e+00,1.540000000000000000e+02,1.159170292339292455e-10
0.000000000000000000e+00,1.550000000000000000e+02,1.154689345750473361e-10
0.000000000000000000e+00,1.560000000000000000e+02,1.150078042138094357e-10
