dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,4.236907581461323342e-31,4.236907581461323342e-31,-3.854397554825510880e-38,-4.236907196021568168e-31,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.076596617331090488e-30,2.076596617331090488e-30,-2.596093801898082302e-37,-2.076596357721710565e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,9.574259127823759105e-30,9.574259127823759105e-30,-1.624890399738673335e-36,-9.574257502933359315e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.166879437368868898e-29,4.166879437368868898e-29,-9.490104746527023030e-36,-4.166878488358394177e-29,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.717358372548745216e-28,1.717358372548745216e-28,-5.191956018868801079e-35,-1.717357853353143369e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,6.722727131652069621e-28,6.722727131652069621e-28,-2.670253239236555957e-34,-6.722724461398830553e-28,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.506471340466132539e-27,2.506471340466132539e-27,-1.295308228745517975e-33,-2.506470045157903920e-27,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.923326417440462633e-27,8.923326417440462633e-27,-5.944699560767117066e-33,-8.923320472740900901e-27,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,3.040708814522431652e-26,3.040708814522431652e-26,-2.588615182368439374e-32,-3.040706225907249098e-26,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,9.939712453895994949e-26,9.939712453895994949e-26,-1.072373747495195175e-31,-9.939701730158520860e-26,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,3.123389894098790566e-25,3.123389894098790566e-25,-4.236906647027432284e-31,-3.123385657192143791e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,9.453121794806874196e-25,9.453121794806874196e-25,-1.600249099643059599e-30,-9.453105792315877093e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,2.760640499104079289e-24,2.760640499104079289e-24,-5.790404580582338522e-30,-2.760634708699498663e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.792356165470412552e-24,7.792356165470412552e-24,-2.011404376019740241e-29,-7.792336051426652564e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.129338412262788118e-23,2.129338412262788118e-23,-6.720323332984340702e-29,-2.129331691939455198e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,5.641408273687423852e-23,5.641408273687423852e-23,-2.163521571724720147e-28,-5.641386638471706340e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.451135356593933270e-22,1.451135356593933270e-22,-6.722724104497057579e-28,-1.451128633869828640e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,3.628941899882251032e-22,3.628941899882251032e-22,-2.019441678364884814e-27,-3.628921705465467760e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,8.833731230352379571e-22,8.833731230352379571e-22,-5.873104828418853569e-27,-8.833672499304096239e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,2.095605232605345624e-21,2.095605232605345624e-21,-1.656019522712370202e-26,-2.095588672410118542e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,4.850157666165909530e-21,4.850157666165909530e-21,-4.533152823895929337e-26,-4.850112334637670525e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,1.096317264775453347e-20,1.096317264775453347e-20,-1.206190698727538338e-25,-1.096305202868466101e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,2.422581675073834711e-20,2.422581675073834711e-20,-3.123385576582536950e-25,-2.422550441218069069e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,5.238255831594712276e-20,5.238255831594712276e-20,-7.879785834655310984e-25,-5.238177033736365522e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,1.109286063234588015e-19,1.109286063234588015e-19,-1.938837305489896885e-24,-1.109266674861533126e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,2.302560532979926840e-19,2.302560532979926840e-19,-4.657372081441085200e-24,-2.302513959259112419e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,4.688481676655264240e-19,4.688481676655264240e-19,-1.093263188936450732e-23,-4.688372350336370913e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,9.371999520222758366e-19,9.371999520222758366e-19,-2.510053406463859701e-23,-9.371748514882112691e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,1.840431617721589508e-18,1.840431617721589508e-18,-5.641386557895879129e-23,-1.840375203856010440e-18,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,3.552936225119069944e-18,3.552936225119069944e-18,-1.242181010537581512e-22,-3.552812007018016684e-18,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,6.747046419612758813e-18,6.747046419612758813e-18,-2.681723122103107830e-22,-6.746778247300548429e-18,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,1.261139316481541096e-17,1.261139316481541096e-17,-5.680550408706897245e-22,-1.261082510977454100e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,2.321598595438176799e-17,2.321598595438176799e-17,-1.181452467568962618e-21,-2.321480450191420106e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,4.211389341175438129e-17,4.211389341175438129e-17,-2.414230966318488345e-21,-4.211147918078805991e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,7.531924180762817019e-17,7.531924180762817019e-17,-4.850112292253727229e-21,-7.531439169533592613e-17,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,1.328758720960888744e-16,1.328758720960888744e-16,-9.585085591886731347e-21,-1.328662870104969732e-16,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,2.313413187305185745e-16,2.313413187305185745e-16,-1.864490175290336754e-20,-2.313226738287656824e-16,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,3.976718921687442558e-16,3.976718921687442558e-16,-3.571752440531867383e-20,-3.976361746443388926e-16,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,6.752271942240368139e-16,6.752271942240368139e-16,-6.741960581373564680e-20,-6.751597746182230251e-16,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,1.132944248558811720e-15,1.132944248558811720e-15,-1.254558619437116915e-19,-1.132818792696868084e-15,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,1.879199837796102763e-15,1.879199837796102763e-15,-2.302513945916706950e-19,-1.878969586401511107e-15,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,3.082533845879933039e-15,3.082533845879933039e-15,-4.169824022906627194e-19,-3.082116863477642272e-15,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,5.002310826373173802e-15,5.002310826373173802e-15,-7.454634020268574129e-19,-5.001565362971147358e-15,0.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,8.033635064942745483e-15,8.033635064942745483e-15,-1.316160750323005871e-18,-8.032318904192422316e-15,0.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,1.277251299642368410e-14,1.277251299642368410e-14,-2.295824691284660659e-18,-1.277021717173239927e-14,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,2.010951164672854665e-14,2.010951164672854665e-14,-3.958052644523206514e-18,-2.010555359408402089e-14,0.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,3.136316318208583662e-14,3.136316318208583662e-14,-6.746778217790718738e-18,-3.135641640386804365e-14,0.000000000000000000e+00
