dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,2.573672329254650558e-30,2.573672329254650558e-30,-9.176506694500245149e-41,-2.573672329162885477e-30,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.217568938726967076e-29,1.217568938726967076e-29,-6.963912540145932967e-40,-1.217568938657327867e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,5.425935474578818963e-29,5.425935474578818963e-29,-4.886928649190560079e-39,-5.425935474090125653e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.285419022170315718e-28,2.285419022170315718e-28,-3.185749968173614259e-38,-2.285419021851740713e-28,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,9.126993613519015194e-28,9.126993613519015194e-28,-1.937252408361091768e-37,-9.126993611581761546e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,3.465947258178383684e-27,3.465947258178383684e-27,-1.103119765840429618e-36,-3.465947257075263597e-27,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.254931241688892178e-26,1.254931241688892178e-26,-5.902820920951832807e-36,-1.254931241098610056e-26,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,4.343211375368351291e-26,4.343211375368351291e-26,-2.977996941074683472e-35,-4.343211372390354591e-26,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.440154901032885249e-25,1.440154901032885249e-25,-1.420833863134506399e-34,-1.440154899612051452e-25,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,4.585218641299295362e-25,4.585218641299295362e-25,-6.429130295908984003e-34,-4.585218634870165027e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.404578007336087688e-24,1.404578007336087688e-24,-2.766325608151010086e-33,-1.404578004569762118e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,4.147545511104003432e-24,4.147545511104003432e-24,-1.134678099408989513e-32,-4.147545499757222419e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.182680002344285145e-23,1.182680002344285145e-23,-4.446995928829600120e-32,-1.182679997897289218e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,3.262094115250317902e-23,3.262094115250317902e-23,-1.668890022422406402e-31,-3.262094098561417882e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,8.716779430937018184e-23,8.716779430937018184e-23,-6.009506710346718751e-31,-8.716779370841951298e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.259859746276933544e-22,2.259859746276933544e-22,-2.080313483219661875e-30,-2.259859725473798595e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,5.692064098584355191e-22,5.692064098584355191e-22,-6.935472088915817248e-30,-5.692064029229633660e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.394704840309197131e-21,1.394704840309197131e-21,-2.230552571521727829e-29,-1.394704818003671410e-21,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,3.328491156793245209e-21,3.328491156793245209e-21,-6.931494855761109415e-29,-3.328491087478296763e-21,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,7.745737848194975321e-21,7.745737848194975321e-21,-2.084338314226650080e-28,-7.745737639761143896e-21,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,1.759534320535651962e-20,1.759534320535651962e-20,-6.073627390898437221e-28,-1.759534259799378082e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,3.905665874411492259e-20,3.905665874411492259e-20,-1.717291371604955883e-27,-3.905665702682355103e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,8.479555015306031584e-20,8.479555015306031584e-20,-4.717380876539311085e-27,-8.479554543567944522e-20,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,1.802299592472722335e-19,1.802299592472722335e-19,-1.260475267214596272e-26,-1.802299466425195522e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,3.753451445950923221e-19,3.753451445950923221e-19,-3.279681022030659074e-26,-3.753451117982820877e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,7.665465264236658634e-19,7.665465264236658634e-19,-8.318676494642628621e-26,-7.665464432369008790e-19,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,1.536333534677688372e-18,1.536333534677688372e-18,-2.058919571997108694e-25,-1.536333328785731282e-18,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,3.024055266927457654e-18,3.024055266927457654e-18,-4.977388069662646371e-25,-3.024054769188650646e-18,0.000000000000000000e+00
