dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,4.238163702693129986e-31,4.238163702693129986e-31,-1.277910803803059834e-34,-4.236885791889326531e-31,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.077320306044574570e-30,2.077320306044574570e-30,-7.342332356185653418e-34,-2.076586072808956095e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,9.578155227248337127e-30,9.578155227248337127e-30,-3.944231545767444304e-33,-9.574210995702568734e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,4.168847189765149421e-29,4.168847189765149421e-29,-1.988560238967880960e-32,-4.166858629526181625e-29,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.718294084904517969e-28,1.718294084904517969e-28,-9.442646999641780458e-32,-1.717349820204553706e-28,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,6.726930472585537454e-28,6.726930472585537454e-28,-4.236885791023825044e-31,-6.722693586794514400e-28,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,2.508260577494544534e-27,2.508260577494544534e-27,-1.801837928089950774e-30,-2.506458739566454509e-27,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,8.930564194988645149e-27,8.930564194988645149e-27,-7.283265323628055219e-30,-8.923280929665017226e-27,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,3.043498539524270316e-26,3.043498539524270316e-26,-2.805555974253434097e-29,-3.040692983550017149e-26,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,9.949983408077889422e-26,9.949983408077889422e-26,-1.032423189959913705e-28,-9.939659176178290059e-26,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,3.127010278455521304e-25,3.127010278455521304e-25,-3.637770278436801541e-28,-3.123372508177084569e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,9.465365911810470399e-25,9.465365911810470399e-25,-1.229926334652447636e-27,-9.453066648463945677e-25,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,2.764621592538137543e-24,2.764621592538137543e-24,-3.998130824397184759e-27,-2.760623461713740541e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.804824154677160777e-24,7.804824154677160777e-24,-1.251934576842331910e-26,-7.792304808908736642e-24,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.133106101013716782e-23,2.133106101013716782e-23,-3.782813001085728897e-26,-2.129323288012630907e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,5.652412411626623046e-23,5.652412411626623046e-23,-1.104769572363205612e-25,-5.641364715902990538e-23,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.454246452696773439e-22,1.454246452696773439e-22,-3.123372507820006578e-25,-1.451123080188953371e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,3.637468594006363004e-22,3.637468594006363004e-22,-8.560569664057834993e-25,-3.628908024342305355e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,8.856417012944701943e-22,8.856417012944701943e-22,-2.277732704944159794e-24,-8.833639685895259823e-22,0.000000000000000000e+00
