dist(m),time(s),Acetaldehyde,CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,1.450294599798779333e-37,1.450294599798779333e-37,-1.450294599799031992e-37,2.527070756412521540e-50,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.816981412790509140e-27,9.816981412790509140e-27,-9.816981412791276827e-27,7.675755053181232567e-40,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,3.950419160326357744e-26,3.950419160326357744e-26,-3.950419160326765264e-26,4.074638218513509778e-39,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.508310777245265443e-25,1.508310777245265443e-25,-1.508310777245439930e-25,1.743833799050144148e-38,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.480101170201727368e-25,5.480101170201727368e-25,-5.480101170202413380e-25,6.861991223096029013e-38,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.899817373566218260e-24,1.899817373566218260e-24,-1.899817373566473563e-24,2.552351591632219742e-37,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,6.300168418982085386e-24,6.300168418982085386e-24,-6.300168418982990516e-24,9.049626259887830074e-37,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,2.003200329462898370e-23,2.003200329462898370e-23,-2.003200329463205468e-23,3.070474242460949175e-36,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,6.120310088214755834e-23,6.120310088214755834e-23,-6.120310088215755005e-23,9.995555001449024983e-36,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.800446120802824781e-22,1.800446120802824781e-22,-1.800446120803137698e-22,3.128867843166029777e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,5.109361239180212092e-22,5.109361239180212092e-22,-5.109361239181155309e-22,9.436353116008882867e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.401203046412796728e-21,1.401203046412796728e-21,-1.401203046413071512e-21,2.746948619355557595e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,3.719650770787212519e-21,3.719650770787212519e-21,-3.719650770787985900e-21,7.731527348850815922e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,9.572886477902926995e-21,9.572886477902926995e-21,-9.572886477905034985e-21,2.107365399394767930e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.391961870603075555e-20,2.391961870603075555e-20,-2.391961870603632570e-20,5.570859417115760892e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,5.810698262171313584e-20,5.810698262171313584e-20,-5.810698262172743587e-20,1.430278218679802658e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.374109566113819255e-19,1.374109566113819255e-19,-1.374109566114176275e-19,3.571134589353094199e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,3.167060800144539017e-19,3.167060800144539017e-19,-3.167060800145407130e-19,8.681937744936024225e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,7.122389206426353651e-19,7.122389206426353651e-19,-7.122389206428411507e-19,2.057584887401504810e-31,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,1.564562780585307898e-18,1.564562780585307898e-18,-1.564562780585783795e-18,4.758895576169493217e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,3.360435056740848327e-18,3.360435056740848327e-18,-3.360435056741923766e-18,1.075254962992225763e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,7.063921012637593664e-18,7.063921012637593664e-18,-7.063921012639969492e-18,2.375734650195482081e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,1.454566733959982517e-17,1.454566733959982517e-17,-1.454566733960496201e-17,5.137673060039857425e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,2.936481552729019666e-17,2.936481552729019666e-17,-2.936481552730108047e-17,1.088418837945616637e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,5.816679321807586371e-17,5.816679321807586371e-17,-5.816679321809846950e-17,2.260712308641190367e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,1.131376122547812676e-16,1.131376122547812676e-16,-1.131376122548273420e-16,4.607377403413584638e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,2.162396839250271300e-16,2.162396839250271300e-16,-2.162396839251193281e-16,9.220263037982475856e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,4.064026257267965120e-16,4.064026257267965120e-16,-4.064026257269778021e-16,1.813088599611928683e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,7.515386804794419706e-16,7.515386804794419706e-16,-7.515386804797925207e-16,3.505665877317546066e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,1.368316747800379606e-15,1.368316747800379606e-15,-1.368316747801046588e-15,6.669185213273949537e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.454232900761938971e-15,2.454232900761938971e-15,-2.454232900763188132e-15,1.249070870467177565e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,4.338898425705762147e-15,4.338898425705762147e-15,-4.338898425708066410e-15,2.304421010077786230e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,7.564959867614321909e-15,7.564959867614321909e-15,-7.564959867618512339e-15,4.190185844349689360e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,1.301411956641863403e-14,1.301411956641863403e-14,-1.301411956642614714e-14,7.513223545936643445e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,2.210094304643165790e-14,2.210094304643165790e-14,-2.210094304644494863e-14,1.329091287678733246e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,3.706731615158309129e-14,3.706731615158309129e-14,-3.706731615160629642e-14,2.320717972774943273e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,6.142457579407787117e-14,6.142457579407787117e-14,-6.142457579411788219e-14,4.001497832071481572e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,1.006097718401489906e-13,1.006097718401489906e-13,-1.006097718402171482e-13,6.816153615536006500e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,1.629487769222850983e-13,1.629487769222850983e-13,-1.629487769223998554e-13,1.147484896615901301e-25,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,2.610537914447638059e-13,2.610537914447638059e-13,-2.610537914449547986e-13,1.909896730496171824e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,4.138278923797113083e-13,4.138278923797113083e-13,-4.138278923800256915e-13,3.143998148637735649e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,6.493057125913728987e-13,6.493057125913728987e-13,-6.493057125918849388e-13,5.120439539273614875e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,1.008626260083338302e-12,1.008626260083338302e-12,-1.008626260084163665e-12,8.253062466277315545e-25,0.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,1.551505907043965130e-12,1.551505907043965130e-12,-1.551505907045282035e-12,1.316804584871521476e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,2.363641728271266274e-12,2.363641728271266274e-12,-2.363641728273346746e-12,2.080284998703899278e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,3.566493882955375511e-12,3.566493882955375511e-12,-3.566493882958630111e-12,3.254568784575933401e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,5.329802310651217697e-12,5.329802310651217697e-12,-5.329802310656260752e-12,5.042862321623791172e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,7.886860488317253293e-12,7.886860488317253293e-12,-7.886860488324991955e-12,7.738893833258967655e-24,0.000000000000000000e+00
0.000000000000000000e+00,4.800000000000000000e+01,1.155178012803470186e-11,1.155178012803470186e-11,-1.155178012804646333e-11,1.176124555446759939e-23,0.000000000000000000e+00
0.000000000000000000e+00,4.900000000000000000e+01,1.673640504183124182e-11,1.673640504183124182e-11,-1.673640504184893896e-11,1.769659373304050131e-23,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+01,2.396176049938215643e-11,2.396176049938215643e-11,-2.396176049940850988e-11,2.635084780744494914e-23,0.000000000000000000e+00
0.000000000000000000e+00,5.100000000000000000e+01,3.385467647418610969e-11,3.385467647418610969e-11,-3.385467647422490963e-11,3.880368955370627629e-23,0.000000000000000000e+00
0.000000000000000000e+00,5.200000000000000000e+01,4.711493938073952679e-11,4.711493938073952679e-11,-4.711493938079598187e-11,5.645606306518619900e-23,0.000000000000000000e+00
0.000000000000000000e+00,5.300000000000000000e+01,6.443432944895417939e-11,6.443432944895417939e-11,-6.443432944903523017e-11,8.105189603512466292e-23,0.000000000000000000e+00
0.000000000000000000e+00,5.400000000000000000e+01,8.635183323584248824e-11,8.635183323584248824e-11,-8.635183323595713031e-11,1.146462661297774209e-22,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,1.130480281128609353e-10,1.130480281128609353e-10,-1.130480281130204261e-10,1.594897881468312336e-22,0.000000000000000000e+00
0.000000000000000000e+00,5.600000000000000000e+01,1.441221682499082979e-10,1.441221682499082979e-10,-1.441221682501261049e-10,2.178102987559225509e-22,0.000000000000000000e+00
0.000000000000000000e+00,5.700000000000000000e+01,1.784472231495200766e-10,1.784472231495200766e-10,-1.784472231498115802e-10,2.915094577349502498e-22,0.000000000000000000e+00
