dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,1.065219295252977159e-40,-1.065219295253162722e-40,1.856094982588662542e-53,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.306385430886363016e-30,-8.306385430887011817e-30,6.494642015053013453e-43,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,3.829703001172976025e-29,-3.829703001173361102e-29,3.850112356687926074e-42,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.666751395343173372e-28,-1.666751395343359240e-28,1.858197204403190462e-41,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.869431413411748391e-28,-6.869431413412574372e-28,8.256648082237884999e-41,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.689089784559186403e-27,-2.689089784559532221e-27,3.459688428918836339e-40,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.002588018063023671e-26,-1.002588018063161424e-26,1.376959721564627469e-39,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,3.569328189095838046e-26,-3.569328189096360360e-26,5.224279045377948037e-39,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.216282490362709999e-25,-1.216282490362899410e-25,1.894595025267822754e-38,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,3.975880692062749424e-25,-3.975880692063407885e-25,6.582736916954797432e-38,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.249354262876637662e-24,-1.249354262876857333e-24,2.195972796778865681e-37,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,3.781242316925647010e-24,-3.781242316926351572e-24,7.047622364350860504e-37,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.104253883479581264e-23,-1.104253883479799318e-23,2.180024785681557073e-36,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,3.116934420569956905e-23,-3.116934420570608128e-23,6.510880750079067488e-36,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,8.517326767755632020e-23,-8.517326767757512811e-23,1.880557570647436989e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.256554655387911882e-22,-2.256554655388438033e-22,5.260991631540177983e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,5.804514535476131321e-22,-5.804514535477558842e-22,1.427604565392651042e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,1.451568682184672879e-21,-1.451568682185049225e-21,3.762665429204579915e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,3.533468999713770771e-21,-3.533468999714735241e-21,9.644598697454386872e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,8.382354689597789243e-21,-8.382354689600196655e-21,2.407105574012544702e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,1.940044933832249250e-20,-1.940044933832834853e-20,5.856260185601266223e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,4.385220811355403464e-20,-4.385220811356793745e-20,1.390349722941595323e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,9.690201764280287539e-20,-9.690201764283512268e-20,3.224368982897095513e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,2.095270813210545690e-19,-2.095270813211276821e-19,7.311340184930492142e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,4.437066698138030293e-19,-4.437066698139652889e-19,1.622456617302032547e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,9.210055831247957449e-19,-9.210055831251483827e-19,3.526504773732232446e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,1.875348937670565209e-18,-1.875348937671316707e-18,7.513860255346851777e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,3.748699395849593774e-18,-3.748699395851164562e-18,1.570589821195895020e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,7.361500775463777999e-18,-7.361500775467001236e-18,3.222999273098824403e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,1.421124787541331598e-17,-1.421124787541981484e-17,6.497647973708498531e-30,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.698711242517148442e-17,-2.698711242518436196e-17,1.287764670425535785e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,5.044329842117245646e-17,-5.044329842119756442e-17,2.510573625889226060e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,9.285921100857437154e-17,-9.285921100862254136e-17,4.817526707265829944e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,1.684458931619560929e-16,-1.684458931620471324e-16,9.104082836178395000e-29,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,3.012574897197115541e-16,-3.012574897198810606e-16,1.695288819267744387e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,5.314649029064241624e-16,-5.314649029067353680e-16,3.112219142276365849e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,9.252899361719168765e-16,-9.252899361724805176e-16,5.635452801153923051e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,1.590542407747484369e-15,-1.590542407748491349e-15,1.006985183814808158e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,2.700632356329491576e-15,-2.700632356331268090e-15,1.776426269821995709e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,4.531255801843533384e-15,-4.531255801846628874e-15,3.095185251755035414e-27,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,7.515823987154697035e-15,-7.515823987160025002e-15,5.328668709393281373e-27,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,1.232831830634260205e-14,-1.232831830635167079e-14,9.068027517708572258e-27,0.000000000000000000e+00
