Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,0.0,300.0,100.0,9.999999999999998e-21,1.0,1.2580625175290466e-29,1.0,2.1920836726794423e-42,0.0
0.0,1.0,300.0,102.0,9.999999999999998e-21,1.0,3.6091680588736486e-19,1.0,2.821917342242158e-32,0.0
0.0,2.0,300.0,104.0,9.999999999999998e-21,1.0,1.81327036445064e-18,1.0,1.780196811856669e-31,0.0
0.0,3.0,300.0,106.0,9.999999999999998e-21,1.0,7.358506499519213e-18,1.0,8.19125322681132e-31,0.0
0.0,4.0,300.0,108.0,9.999999999999998e-21,1.0,2.7505851419762288e-17,1.0,3.341878770802375e-30,0.0
0.0,5.0,300.0,110.0,9.999999999999998e-21,1.0,9.735178617067938e-17,0.9999999999999999,1.272538745288422e-29,0.0
0.0,6.0,300.0,112.0,9.999999999999998e-21,1.0,3.289746733544985e-16,0.9999999999999996,4.599559470191246e-29,0.0
0.0,7.0,300.0,114.0,9.999999999999998e-21,1.0,1.0654424096262702e-15,0.999999999999999,1.5887908230342362e-28,0.0
0.0,8.0,300.0,116.0,9.999999999999998e-21,1.0,3.315547485679679e-15,0.999999999999997,5.263576108303044e-28,0.0
0.0,9.0,300.0,118.0,9.999999999999998e-21,1.0,9.934808878652475e-15,0.9999999999999902,1.6766609181721622e-27,0.0
0.0,10.0,300.0,120.0,9.999999999999998e-21,1.0,2.871915315914023e-14,0.9999999999999712,5.145861607901049e-27,0.0
0.0,11.0,300.0,122.0,9.999999999999998e-21,1.0,8.023377671647574e-14,0.99999999999992,1.5244803316393673e-26,0.0
0.0,12.0,300.0,124.0,9.999999999999998e-21,1.0,2.1698513575100501e-13,0.999999999999783,4.3669164512519434e-26,0.0
0.0,13.0,300.0,126.0,9.999999999999998e-21,1.0,5.689282060893174e-13,0.9999999999994312,1.2114491773520708e-25,0.0
0.0,14.0,300.0,128.0,9.999999999999998e-21,1.0,1.4483227908458551e-12,0.9999999999985519,3.2595382041447297e-25,0.0
0.0,15.0,300.0,130.0,9.999999999999998e-21,1.0,3.5846013540021113e-12,0.9999999999964153,8.517862427343382e-25,0.0
0.0,16.0,300.0,132.0,9.999999999999998e-21,1.0,8.636457145723512e-12,0.9999999999913637,2.1646906165303542e-24,0.0
0.0,17.0,300.0,134.0,9.999999999999998e-21,1.0,2.0280023039639723e-11,0.9999999999797199,5.35654832381406e-24,0.0
0.0,18.0,300.0,136.0,9.999999999999998e-21,1.0,4.64651888665276e-11,0.999999999953535,1.2921123936288644e-23,0.0
0.0,19.0,300.0,138.0,9.999999999999998e-21,1.0,1.0398568750540804e-10,0.9999999998960145,3.0416888351155445e-23,0.0
0.0,20.0,300.0,140.0,9.999999999999998e-21,1.0,2.27530687881627e-10,0.9999999997724693,6.994791896699386e-23,0.0
0.0,21.0,300.0,142.0,9.999999999999998e-21,1.0,4.872328246091364e-10,0.9999999995127671,1.572902028941565e-22,0.0
0.0,22.0,300.0,144.0,9.999999999999998e-21,1.0,1.0219982976566454e-09,0.9999999989780017,3.166054101977148e-22,0.0
0.0,23.0,300.0,146.0,9.999999999999998e-21,1.0,2.1015837007983493e-09,0.9999999978984162,7.167551310418496e-22,0.0
0.0,24.0,300.0,148.0,9.999999999999998e-21,1.0,4.240062103810013e-09,0.999999995759938,1.4242025037768817e-21,0.0
0.0,25.0,300.0,150.0,9.999999999999998e-21,1.0,8.399520410575855e-09,0.9999999916004799,2.8714137697866653e-21,0.0
0.0,26.0,300.0,152.0,9.999999999999998e-21,1.0,1.634948482675911e-08,0.9999999836505152,5.7764884455588934e-21,0.0
0.0,27.0,300.0,154.0,9.999999999999998e-21,1.0,3.129071355440672e-08,0.9999999687092865,1.1506238547731104e-20,0.0
0.0,28.0,300.0,156.0,9.999999999999998e-21,1.0,5.892073185366676e-08,0.9999999410792682,2.2617347435410607e-20,0.0
0.0,29.0,300.0,158.0,9.999999999999998e-21,1.0,1.092263522566324e-07,0.9999998907736477,4.3815509398378417e-20,0.0
0.0,30.0,300.0,160.0,9.999999999999998e-21,1.0,1.9945525668459038e-07,0.9999998005447434,8.362807170739075e-20,0.0
0.0,31.0,300.0,162.0,9.999999999999998e-21,1.0,3.589731688156498e-07,0.9999996410268313,1.572780016468706e-19,0.0
0.0,32.0,300.0,164.0,9.999999999999998e-21,1.0,6.370960421066888e-07,0.999999362903958,2.9052782162104303e-19,0.0
0.0,33.0,300.0,166.0,9.999999999999998e-21,1.0,1.1155555120417718e-06,0.9999988844444881,5.165959589142394e-19,0.0
0.0,34.0,300.0,168.0,9.999999999999998e-21,1.0,1.928089522673243e-06,0.9999980719104775,9.130193288508024e-19,0.0
0.0,35.0,300.0,170.0,9.999999999999998e-21,1.0,3.290859319452907e-06,0.9999967091406805,1.6026440300806645e-18,0.0
0.0,36.0,300.0,172.0,9.999999999999998e-21,1.0,5.549122320761981e-06,0.9999944508776794,2.7895238576430103e-18,0.0
0.0,37.0,300.0,174.0,9.999999999999998e-21,1.0,9.248035272058117e-06,0.999990751964728,4.8106775267690075e-18,0.0
0.0,38.0,300.0,176.0,9.999999999999998e-21,1.0,1.5238873054317882e-05,0.9999847611269459,8.217665459069343e-18,0.0
0.0,39.0,300.0,178.0,9.999999999999998e-21,1.0,2.4836643656428453e-05,0.9999751633563436,1.3901494755052893e-17,0.0
